consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,26.2919,space,26.2805,5,7.3808,5,3.1747,3,10.7518,0,0,0,8,1,AKR9067Q09RZS,21,ma_38466626-a_w_outline.jpg,ma_38466626-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,2,12.4801,0,1,1,24,1,AKR9067Q09RZS,56,ma_83536470-a_w_outline.jpg,ma_83536470-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,3,12.8934,0,2,2,10,1,AKR9067Q09RZS,23,ma_42429798-a_w_outline.jpg,ma_42429798-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,1,8.5711,0,3,3,7,1,AKR9067Q09RZS,20,ma_32289063-a_w_outline.jpg,ma_32289063-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,1,9.6302,0,4,4,3,1,AKR9067Q09RZS,11,ma_18345691-a_w_outline.jpg,ma_18345691-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,1,7.354,0,5,5,2,1,AKR9067Q09RZS,9,ma_16527526-a_w_outline.jpg,ma_16527526-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,2,23.8359,0,6,6,14,1,AKR9067Q09RZS,31,ma_51537628-a_w_outline.jpg,ma_51537628-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,4,9.2139,0,7,7,23,1,AKR9067Q09RZS,52,ma_79241011-a_w_outline.jpg,ma_79241011-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,3,7.5839,0,8,8,21,1,AKR9067Q09RZS,46,ma_75958241-a_w_outline.jpg,ma_75958241-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,5,5.8533,0,9,9,22,1,AKR9067Q09RZS,51,ma_79222679-a_w_outline.jpg,ma_79222679-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,4,10.2683,0,10,10,29,1,AKR9067Q09RZS,69,ma_98265889-a_w_outline.jpg,ma_98265889-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,4,5.9337,0,11,11,28,1,AKR9067Q09RZS,65,ma_90405028-a_w_outline.jpg,ma_90405028-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,3,7.1643,0,12,12,19,1,AKR9067Q09RZS,41,ma_70687495-a_w_outline.jpg,ma_70687495-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
,,,,,,,,2,21.8803,0,13,13,13,1,AKR9067Q09RZS,30,ma_48486405-a_w_outline.jpg,ma_48486405-b_w_outline.jpg,33,m,AKR9067Q09RZS,2020-12-08_13h52.25.981,MetaAwareness,2020.1.2,MacIntel,60,3IJ95K7NDYF0YES1JUVMBPCM4PUNGK,3HHRAGRYX986N93ZW5URMGLSDI89OR,YAHH5,YAHH5,3HHRAGRYX986N93ZW5URMGLSDI89OR,3HHRAGRYX986N93ZW5URMGLSDI89OR,262735,262735,,,,
