consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,2.045525,space,0.871475,5,2.05539,5,0.74627,1,3.667305,0,0,0,12,1,A22DF0EWILGRLV,13,ma_77574131-a_w_outline.jpg,ma_77574131-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,2,3.19699,0,1,1,26,1,A22DF0EWILGRLV,27,ma_23024660-a_w_outline.jpg,ma_23024660-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,2,4.14202,0,2,2,23,1,A22DF0EWILGRLV,24,ma_22020472-a_w_outline.jpg,ma_22020472-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,1,2.880205,0,3,3,5,1,A22DF0EWILGRLV,6,ma_98265889-a_w_outline.jpg,ma_98265889-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,2,3.74007,0,4,4,1,1,A22DF0EWILGRLV,2,ma_73637203-a_w_outline.jpg,ma_73637203-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,5,5.694015,0,5,5,3,1,A22DF0EWILGRLV,4,ma_77793328-a_w_outline.jpg,ma_77793328-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,1,2.87303,0,6,6,22,1,A22DF0EWILGRLV,23,ma_83536470-a_w_outline.jpg,ma_83536470-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,4,2.784165,0,7,7,4,1,A22DF0EWILGRLV,5,ma_46475259-a_w_outline.jpg,ma_46475259-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,1,2.282445,0,8,8,9,1,A22DF0EWILGRLV,10,ma_81993755-a_w_outline.jpg,ma_81993755-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
,,,,,,,,5,2.187175,0,9,9,28,1,A22DF0EWILGRLV,29,ma_90405028-a_w_outline.jpg,ma_90405028-b_w_outline.jpg,32,male,A22DF0EWILGRLV,2020-10-23_13h42.57.980,MetaAwareness,2020.1.2,Linux x86_64,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3AWETUDC93VBXEA928BLF7RYAYCIZZ,CTWA9,CTWA9,3AWETUDC93VBXEA928BLF7RYAYCIZZ,3AWETUDC93VBXEA928BLF7RYAYCIZZ,250969,250969,,,,
