consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt
space,1.259785,space,2.434995,5,1.299105,5,0.594875,4,4.17785,0,0,0,24,1,A2FOUSWQDYHIE0,25,ma_51856108-a_w_outline.jpg,ma_51856108-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,5,3.321155,0,1,1,2,1,A2FOUSWQDYHIE0,3,ma_1383096-a_w_outline.jpg,ma_1383096-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,3,3.4871,0,2,2,26,1,A2FOUSWQDYHIE0,27,ma_23199105-a_w_outline.jpg,ma_23199105-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,3,2.37271,0,3,3,7,1,A2FOUSWQDYHIE0,8,ma_72488522-a_w_outline.jpg,ma_72488522-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,4,2.54251,0,4,4,28,1,A2FOUSWQDYHIE0,29,ma_18345691-a_w_outline.jpg,ma_18345691-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,5,3.14021,0,5,5,9,1,A2FOUSWQDYHIE0,10,ma_46635293-a_w_outline.jpg,ma_46635293-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,4,3.958575,0,6,6,29,1,A2FOUSWQDYHIE0,30,ma_79241011-a_w_outline.jpg,ma_79241011-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,3,2.83322,0,7,7,8,1,A2FOUSWQDYHIE0,9,ma_46475259-a_w_outline.jpg,ma_46475259-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,4,2.40207,0,8,8,1,1,A2FOUSWQDYHIE0,2,ma_75081153-a_w_outline.jpg,ma_75081153-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
,,,,,,,,1,4.064435,0,9,9,11,1,A2FOUSWQDYHIE0,12,ma_74173745-a_w_outline.jpg,ma_74173745-b_w_outline.jpg,29,m,A2FOUSWQDYHIE0,2020-10-13_18h34.33.882,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,TV0R9,TV0R9,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,3R08VXYT7DYAEZO88UNHPE77DF8W7Z,250969,250969,,
