consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,17.904,space,30.067,5,3.92,5,3.304,3,6.494,0,0,0,22,1,A2VR9O234UCT9T,23,ma_73637203-a_w_outline.jpg,ma_73637203-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,2,7.424,0,1,1,29,1,A2VR9O234UCT9T,30,ma_48486405-a_w_outline.jpg,ma_48486405-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,2,5.021,0,2,2,19,1,A2VR9O234UCT9T,20,ma_51856108-a_w_outline.jpg,ma_51856108-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,1,5.956,0,3,3,21,1,A2VR9O234UCT9T,22,ma_83691215-a_w_outline.jpg,ma_83691215-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,2,4.727,0,4,4,4,1,A2VR9O234UCT9T,5,ma_23199105-a_w_outline.jpg,ma_23199105-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,1,5.993,0,5,5,0,1,A2VR9O234UCT9T,1,ma_25107991-a_w_outline.jpg,ma_25107991-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,3,4.397,0,6,6,2,1,A2VR9O234UCT9T,3,ma_24383097-a_w_outline.jpg,ma_24383097-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,3,10.098,0,7,7,18,1,A2VR9O234UCT9T,19,ma_95091295-a_w_outline.jpg,ma_95091295-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,3,5.673,0,8,8,17,1,A2VR9O234UCT9T,18,ma_61118260-a_w_outline.jpg,ma_61118260-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
,,,,,,,,2,5.988,0,9,9,11,1,A2VR9O234UCT9T,12,ma_45525109-a_w_outline.jpg,ma_45525109-b_w_outline.jpg,50,f,A2VR9O234UCT9T,2020-11-12_09h21.39.303,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,30ZX6P7VF9YHMER3VJN74XWR5C92JD,V6Z09,V6Z09,30ZX6P7VF9YHMER3VJN74XWR5C92JD,30ZX6P7VF9YHMER3VJN74XWR5C92JD,250969,250969,,,,
