consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,13.179625,space,1.10196,5,1.586805,5,1.05781,4,3.98152,0,0,0,23,1,A3493E42N1JZVF,24,ma_85741618-a_w_outline.jpg,ma_85741618-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,4,4.669645,0,1,1,11,1,A3493E42N1JZVF,12,ma_77574131-a_w_outline.jpg,ma_77574131-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,4,3.871055,0,2,2,14,1,A3493E42N1JZVF,15,ma_42429798-a_w_outline.jpg,ma_42429798-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,4,4.171115,0,3,3,5,1,A3493E42N1JZVF,6,ma_56835136-a_w_outline.jpg,ma_56835136-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,1,7.9538,0,4,4,1,1,A3493E42N1JZVF,2,ma_16527526-a_w_outline.jpg,ma_16527526-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,2,6.30312,0,5,5,9,1,A3493E42N1JZVF,10,ma_44993860-a_w_outline.jpg,ma_44993860-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,2,4.681225,0,6,6,18,1,A3493E42N1JZVF,19,ma_62096551-a_w_outline.jpg,ma_62096551-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,3,7.136765,0,7,7,17,1,A3493E42N1JZVF,18,ma_77345858-a_w_outline.jpg,ma_77345858-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,3,5.775805,0,8,8,27,1,A3493E42N1JZVF,28,ma_89354846-a_w_outline.jpg,ma_89354846-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
,,,,,,,,2,5.92829,0,9,9,19,1,A3493E42N1JZVF,20,ma_86520382-a_w_outline.jpg,ma_86520382-b_w_outline.jpg,29,m,A3493E42N1JZVF,2020-10-23_15h04.35.927,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,34MAJL3QP5QG4E41WCE8H5C0QMX34V,QJM49,QJM49,34MAJL3QP5QG4E41WCE8H5C0QMX34V,34MAJL3QP5QG4E41WCE8H5C0QMX34V,250969,250969,,,,
