consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt
space,58.773915,space,40.502185,5,5.9393,5,5.733635,4,5.78119,0,0,0,13,1,A3EHDY67QENKPT,14,ma_85741618-a_w_outline.jpg,ma_85741618-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,3,7.301715,0,1,1,8,1,A3EHDY67QENKPT,9,ma_10810329-a_w_outline.jpg,ma_10810329-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,2,7.829535,0,2,2,6,1,A3EHDY67QENKPT,7,ma_81993755-a_w_outline.jpg,ma_81993755-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,2,7.453205,0,3,3,28,1,A3EHDY67QENKPT,29,ma_62096551-a_w_outline.jpg,ma_62096551-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,3,7.902325,0,4,4,25,1,A3EHDY67QENKPT,26,ma_18345691-a_w_outline.jpg,ma_18345691-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,4,7.24128,0,5,5,17,1,A3EHDY67QENKPT,18,ma_46635293-a_w_outline.jpg,ma_46635293-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,1,7.753975,0,6,6,24,1,A3EHDY67QENKPT,25,ma_38466626-a_w_outline.jpg,ma_38466626-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,2,6.23872,0,7,7,22,1,A3EHDY67QENKPT,23,ma_48486405-a_w_outline.jpg,ma_48486405-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,2,7.62203,0,8,8,18,1,A3EHDY67QENKPT,19,ma_74173745-a_w_outline.jpg,ma_74173745-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
,,,,,,,,1,4.5931,0,9,9,2,1,A3EHDY67QENKPT,3,ma_8197559-a_w_outline.jpg,ma_8197559-b_w_outline.jpg,35,F,A3EHDY67QENKPT,2020-10-13_16h12.47.104,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOE87N8W,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,8Q639,8Q639,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,336YQZE83WHZMJGBGZ2XIWRKO6F5MG,250969,250969,,
