consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,12.652375,space,12.452735,4,16.07915,0,0,0,210,1,a group of action figures with a bunny with pink feet in the front,a group of acton figures with a bunny with purple feet in the front,ma,48384711,9,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,5,11.425805,0,1,1,484,1,a red brick building with a wooden door and white trim. bars are on the lower windows,a red brick building with a wooden door and white trim. bars are on the lower windows and one upper window looks open,ma,95091295,5,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,5,10.62552,0,2,2,352,1,a plate full of cupcakes with a pink sugar ribbon thet reads guglhof,a plate full of cupcakes with a pink sugar ribbon that reads gugelfoh,ma,77345858,10,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,5,18.691565,0,3,3,413,1,there are 24 pictures hung on the wall and the fifth picture on the second row from the left has a grey background.,there are 24 pictures hung on the wall and the fifth picture on the second row from the left has a black background.,ma,83691215,1,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,5,14.970215,0,4,4,494,1,a set of colored pencils and business cards. the tag line for the business card is right above the phone number,a set of colored pencils and business cards the tag line for the business card is right under the name.,ma,97475929,4,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,3,14.735885,0,5,5,19,1,a miniature pool table with two black balls,a miniature pool table with one white ball,ma,1191801,3,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,3,8.03723,0,6,6,380,1,an alphabet number blanket with a 4 beside the g,an alphabet nunber blanket with a 4 above the g,ma,79222679,3,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,4,11.72105,0,7,7,297,1,"a quilt with various square patterns, with one section being a ligher shade of red.",a quilt with various rectangular patterns with one section being a light shade of orange.,ma,70687495,6,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,3,13.77277,0,8,8,183,1,art supplies on a table that has a pencil next to a hammer,art supplies on a table that does not have a pencil next to a hammer,ma,45525109,5,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
,,,,5,9.31984,0,9,9,113,1,four elephant keychains hanging from a wall and a green square.,four elephant keychains hanging from a wall with a green backdrop lettering and des in the box.,ma,25107991,4,47,ALKQPW0O9C98N,2021-01-07_08h26.41.184,MetaAwareness,2020.1.2,Win32,60,3NOEP8XAU55BNLZ4OJ8I30HC8QVPX7,ALKQPW0O9C98N,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,I6WJ5,I6WJ5,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,3JWH6J9I9TG7THIKTA8AYXGDEHJNBY,267585,267585,,,,,,,,,,
