consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,21.39676,space,10.07803,5,26.14649,0,0,0,363,1,a variety of desserts including one that is tied wuth a green ribbon.,a variety of desserts inclusing one that is tied with a brown ribbon.,ma,77793328,3,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,5,1.35442,0,1,1,50,1,a halloween themed blanket with three pumpkins in the background,a halloween themed blanket with two pumpkins in the background,ma,1383096,5,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,5,1.067385,0,2,2,457,1,a sowing desk that is very organized the yellow box has an additional sticker on it.,a sowing desk that is very organized the yellow box has no sticker on it.,ma,89354846,1,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,4,1.77163,0,3,3,7,1,a table with a pink tablecloth with a place setting for 6 with clear glassware four tealight candles burning each inside a shell. green napkins and silverware and pink and white flowers in the center,a table with a pink tablecloth with a place setting for six with clear glassware  four tealights lit and each sitting inside a seashell there are white and pink flowers in the center of the table.,ma,10810329,1,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,5,1.121655,0,4,4,58,1,a nice set of furniture with a chair that has a large pillow,a nice set of furniture with a chair that has a normal size pillow,ma,13873251,8,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,4,1.146645,0,5,5,505,1,a desk with dual monitors. a tall umbrella stands to the left of the desk,a desk with dual monitors. a short umbrella stands to the left of the desk,ma,98156944,8,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,5,0.96373,0,6,6,468,1,an array of green beanbags with fabric patterned circles on top and a few gold envelopes with a stamp that has red and yellow within a green circle near the top of the stamp. the yellow is on the top ,an array of green beanbags with fabric patterned circles on top and a few gold envelopes with a stamp that has red on top and yellow on the bottom within a green circle near the top of the stamp,ma,8974554,6,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,6,2.87178,0,7,7,411,1,a stone mansion with six windows on the top row.,a stone mansion with seven windows on the top row.,ma,83536470,3,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,5,0.92448,0,8,8,487,1,a building with a window that has its screen at the top,a building with a window with its screen in the middle,ma,95091295,8,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,4,0.965595,0,9,9,359,1,a bouquet of flowers on a white table,a bouquet of white and purple flowers on a white table,ma,77574131,6,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,5,1.514095,0,10,10,435,1,"near the big light, middle light is coated with green color","near te big light, middle light is coated wth white color",ma,85741618,6,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,6,1.06173,0,11,11,206,1,a set of cartoon figurines with the character in the front having pink legs,a set of cartoon figurines with the character in front having blue legs,ma,48384711,5,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,5,1.419885,0,12,12,507,1,"at the corner of the side, long stick is available","at the corner of the side, short stick is available",ma,98156944,10,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
,,,,5,1.06902,0,13,13,247,1,"a black lamp sits in the middle of a room on a table, while 6 musical instruments sit above it.","a black lamp sits in the middle of a room on a table, while 5 musical instruments sit above it.",ma,57861456,2,35,APZK4QO7VUP56,2021-01-07_07h10.07.166,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTS8BYC,APZK4QO7VUP56,3PW9OPU9PRNARXBZ5UH10X06H9T21T,9OWP5,9OWP5,3PW9OPU9PRNARXBZ5UH10X06H9T21T,3PW9OPU9PRNARXBZ5UH10X06H9T21T,267585,267585,,,,,,,,,,
