consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,7.144345,space,9.56483,4,18.03357,0,0,0,94,1,"a picture of a crowded room with lots of stationary scattered throughout, including a yellow notebook in the upper right corner.","a picutre of a messy room with lots of stationary scattered throughout, including a red notebook in the upper right corner.",ma,23199105,2,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,4,5.22752,0,1,1,133,1,a toybox featuring an upside down golden star.,a toybox featuring a right side up golden star.,ma,32289063,5,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,5,4.786415,0,2,2,237,1,"a wall with five stringed instruments, a lamp and a table.","a wall with four stringed instruments, a lamp and a table.",ma,57861456,4,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,5,7.82537,0,3,3,295,1,a cake is decorated with halloween themed figures including a kitty in black with a bat pin tilted to the right,a cake is decorated with halloween themed figures including a kitty in black with a bat pin tilted to the left,ma,72488522,9,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,5,7.29787,0,4,4,337,1,ten sets of ice-creams with the brand name gughlhof.,ten sets of ice-creams with the brand name gugelhof.,ma,77345858,11,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,5,7.775175,0,5,5,299,1,there are six small decors and a blue cushion on the green table and the pattern on the top left corner of the cushion is a pink butterfly,there are six small decors ad a blue cushion on the green table and the pattern on the top left corner of the cushion is a red strawberry,ma,73637203,1,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,5,4.26467,0,6,6,421,1,various treats on a table without a lollipop stick,various treats on a table with a lollipop stick,ma,86520382,6,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,6,8.81462,0,7,7,368,1,u2 decorations with targets and a small explosion in the bottom right corner the u2 in the yellow box is slightly lower than the other picture.,u2 decorations with targets and a small explosion in the bottom right corner the u2 in the yellow box is slightly higher than the other picture.,ma,79241011,2,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,5,3.22997,0,8,8,194,1,multiple toys. the toy in the front has pink legs.,multiple toys. the toy in the front has blue legs,ma,48384711,1,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
,,,,2,3.740085,0,9,9,44,1,the color here is orange,the color here is red,ma,13141692,5,49,A3EGXFT5MXGKKO,2021-01-07_22h03.51.807,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A3EGXFT5MXGKKO,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,V9L15,V9L15,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,31LM9EDVOMVDB0GWH2LRWLZQNPPJNJ,267895,267895,,,,,,,,,,
