consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,1.751905,space,1.112555,2,8.8282,0,0,0,139,1,an ornately decorated wooden design that has a squiggly line carved in it in one place,an ornately decorated wooden design that has plain wood in one place amongst squiggly carved lines,ma,42429798,8,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,4,5.43416,0,1,1,20,1,a black a yellow  box with black binnoculars on top with a black strap wiht red on it.,a black and yellow box with black binnocular on top with a black strap with yellow on it.,ma,12115280,1,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,2,4.234985,0,2,2,271,1,a book shelf containing teo compasses pointing north,a book shelf with one compass pointing north and one pointing north east,ma,74173745,6,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,4,4.80411,0,3,3,274,1,a neatly arranged showcase with a compass pointing north.,a neatly arranged showcase with a compass pointing west.,ma,74173745,9,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,1,5.15329,0,4,4,64,1,an order of pirate designed cupcakes with a big smiley face sticker on the bags,an order of pirate designed cupcakes with a regular sized smiley face sticker on the bags,ma,18345691,4,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,3,7.654015,0,5,5,50,1,a living room with chairs and pillows on them a couch and a bar,a living room that has a couch a bar and chairs with pillows on them,ma,13873251,7,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,4,5.303205,0,6,6,21,1,a robotic cake design with red color edges,a robotic cake design with yellow color edges.,ma,12115280,2,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,4,3.59232,0,7,7,185,1,a photo frames with square shape.,a photo frames with rectangle shape.,ma,51856108,3,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,4,3.454865,0,8,8,25,1,a robotic looking cake with fondant and a red line towards the top right of the cake,a robotic looking cake with fondant and a yellow line towards the top right of the cake,ma,12115280,6,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
,,,,5,11.08224,0,9,9,285,1,eight pink-frosted cupcakes with a pink ribbon and the word 'gughlhof',eight pink-frosted cupcakes with a pink ribbon and the word 'gugelhofe',ma,77345858,2,45,ANPNK6CIBGLIF,2021-01-08_14h58.16.765,MetaAwareness,2020.1.2,Win32,60,3MA5N0ATTDEVNUXY1M7O50H65GWWK1,ANPNK6CIBGLIF,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,T8TW0,T8TW0,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,3WT783CTPCKO2DLT4KZWIMM1GJ9BCL,268040,268040,,,,,,,,,,
