consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,14.51733,space,0.78535,4,8.136835,0,0,0,156,1,an office desk with a variety of office suplies and a computer on top and a tall umbrella reaching high above the desk,an office desk with a variety of office supplies and a computer on top and a short umbrella barely reaching the top of the desk.,ma,98156944,7,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,4.83015,0,1,1,51,1,multiple toys. the one in the front is skewing towards the green toy,multiple toys. the one in the fron is skewing near the red one.,ma,38466626,2,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,6.739955,0,2,2,97,1,halloween decorations including an orange bat,halloween decorations including an orange bat on the cat,ma,72488522,2,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,4,11.716415,0,3,3,2,1,a dinner table with 4 lights one of them bigger than the other,a dinner table with 4 lights all equal size,ma,10810329,2,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,4.84236,0,4,4,11,1,an air ballon with pink shade in the middle,an air ballon with consistent color,ma,12178414,6,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,12.58559,0,5,5,66,1,a collection of bunny figurines with one sporting pink legs.,a collection of bunny figurines with one sporting blue legs to match its ears.,ma,48384711,6,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,9.08908,0,6,6,127,1,an electronic board with 5 small metal rods in the center and 1 long metal rod,an electronic board with 6 sall metal rods in the center,ma,8197559,4,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,4,35.121895,0,7,7,91,1,a website address located under a phone number with large spacing,a website address located under a phone number with no spacing,ma,69128765,6,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,43.43929,0,8,8,3,1,a fancy dinner table with roses and a large tea light candle in a clam shell.,a fancy dinner table with roses and a small tea light in a clam shell.,ma,10810329,4,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,8.29311,0,9,9,119,1,a bike in front of multiple mailboxes. the mailboxes are all different colors. the one in the box is green.,a bike in front of multiple mailboxes. the mailboxes are all different colors. the one in the box is black.,ma,79191795,5,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,12.531475,0,10,10,98,1,a plate containing fondant halloween decorations including a hello kitty with an orange bat looking towards the left,a plate containing fondant halloween decorations including a hello kitty with an orange bat looking towards the right,ma,72488522,5,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,10.488235,0,11,11,57,1,"a desk containing a computer with two shelves above it. the second shelf has two clear labelled boxes, one with a label at the top and one with the label at the bottom","a desk containing a computer with two shelves above it. the second shelf has two clear labelled boxes, both with the label at the top",ma,4247084,5,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,6.580095,0,12,12,35,1,a table full of arts and crafts materials the paper in the yellow box in this picture is yellow.,a table full of arts and crafts materials the paper in the yellow box in this picture is red.,ma,23199105,3,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,10.640235,0,13,13,78,1,"a white table with candies, cookies, cupcakes and other goodies","a white table with cupcakes, candies in jars, cookies and other goodies",ma,61118260,1,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,3,3.952295,0,14,14,36,1,an yellow color books are visible,an red color books are visible.,ma,23199105,5,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,9.462395,0,15,15,147,1,a set of 6 cloths in the shape of whirls and with buttons in the middle,a set of 6 cloths in the shape of swirls all with a button in the middle except one,ma,90405028,2,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,4,33.82017,0,16,16,134,1,a wall crowded with pictures with one black and white picture in the middle that is blurry.,a wall crowdrd with pictures with one black and white picture in the middle that is clear.,ma,83691215,9,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,5.24653,0,17,17,120,1,a green number 4 stiched on a baby blanket.a nu,a number 4 sewn onto a blanket,ma,79222679,1,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,4,7.00386,0,18,18,117,1,two rows of maiboxes with a bike below it and a green mailbox.,two rows of mailboxes with a bike below it and a black mailbox with lettering.,ma,79191795,2,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,8.530905,0,19,19,33,1,a display of wooden objects with a quilted picture in the background showing a house in the middle with a large window,a display of wooden objects with a quilted picture in the background showing a house in the center with a small window.,ma,23024660,10,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,6,19.555845,0,20,20,85,1,"a round table outdoors with a gray tablecloth, and cutlery set up with drink glasses with pink cloth napkins","a round table outdoors with a gray tablecloth, and cutlery set up with drink glasss with pink cloth napkins",ma,67862299,4,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,2,3.112225,0,21,21,31,1,the embroidary is large,the embroidary is small,ma,23024660,1,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,6.13368,0,22,22,152,1,a building with six windows where the second window is closed along with others.,a building with six windows where the second window is half opened unlike others.,ma,95091295,11,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,4,9.468255,0,23,23,79,1,"in the seond bottle at the right side, sticker is pasted on opposite side","in the second bottle at te right side, sticker placed at correct side",ma,61118260,6,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,4,4.621305,0,24,24,48,1,the star in the middle was turn upside down here,the start here is the real star,ma,32289063,2,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,4,8.341125,0,25,25,100,1,there are six small decors and a blue cushion on the green table and the pattern on the top left corner of the cushion is a pink butterfly,there are six small decors ad a blue cushion on the green table and the pattern on the top left corner of the cushion is a red strawberry,ma,73637203,1,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,4,9.45952,0,26,26,40,1,there are four elephant keychains magneted to a white board with foreign language words and the last word on the second last row ends with 'i',there are four elephant keychains magneted to a white board with foreign language words and the last word on the second last row is 'des',ma,25107991,1,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,3,4.293905,0,27,27,155,1,an office setup with an umbrella towering out from behind the desk.,an office setup with an umbrella just peeking out from behind the desk.,ma,98156944,5,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,4.758765,0,28,28,18,1,a black ploow on a chair,a chair with a black pillow on it.,ma,13873251,1,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,5,9.57034,0,29,29,49,1,a children's toy set including a set of different toys in a wooden box with a five pointed star that is pointed down,a children's toy set including a set of different toys in a wooden box with a five pointed star that is pointed up,ma,32289063,6,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,,,,,,,,,,
,,,,,,,,,,,,,,,,34,A1JRP31XJIU7NV,2021-01-09_10h52.36.439,MetaAwareness,2020.1.2,Win32,60,33J5JKFMK71K7ZT547GJWPII6TEQ31,A1JRP31XJIU7NV,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,CRZA9,CRZA9,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,3AZHRG4CU5NZ5QM0DBR652MOJ4A308,268119,268119,6,6.532045,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a blue beach umbrella on a crowded beach,same,1,2.44914,members of a marching band crossing a track that all have feather plumes at the front of their hats,a cluttered and rustic looking cafe with 10 hanging lights,different
