consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,4.46634,space,28.091895,2,38.480765,0,0,0,130,1,"a circuit board with six wires sitting parallel to eachother, the foremost being the longest","a circuit board with six wire sitting parallel to eachother, the foremost is not the longest",ma,8197559,7,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,2,36.860015,0,1,1,104,1,garden seat with six decorative emblems laid upon it in addition to a pillow featuring a printed butterly and strawberry in its upper left corner,garden seat with six decorative emblems laid upon it in addition to a pillow featuring two printed strawberries in its upper left corner,ma,73637203,8,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,3,15.19228,0,2,2,67,1,a set of creatively modeled rabbit figures. the front one has blue ears and pink feet.,a set of creatively modeled rabbit figures. the front one has blue ears and blue feet.,ma,48384711,7,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,3,11.775355,0,3,3,94,1,a green white and red checkered quilt with a pink patch in the yellow box.,a green white and red checkerd quilt with a white patch in the yellow box.,ma,70687495,2,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,2,10.703005,0,4,4,60,1,a pantry area in a home kitchen,a small container in a pantry. i'm guessing it contains tea,ma,46475259,1,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,3,14.978455,0,5,5,91,1,a website address located under a phone number with large spacing,a website address located under a phone number with no spacing,ma,69128765,6,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,4,16.42649,0,6,6,120,1,a green number 4 stiched on a baby blanket.a nu,a number 4 sewn onto a blanket,ma,79222679,1,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,3,10.52809,0,7,7,39,1,a childs bedroom decorated with stars and a large moon,a childs bedroom decorated with stars and a small moon,ma,24383097,5,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,3,6.153375,0,8,8,112,1,a bunch of cupcakes with an h in the midle,a bunch of cupcakes with an e in the middle,ma,77345858,6,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
,,,,3,9.66734,0,9,9,74,1,a wall of artwork with the left most piece hanging horizontal,a wall of artwork with the left most piece hanging vertically,ma,51856108,4,37,A21CAWN21WWO91,2021-01-09_09h55.50.897,MetaAwareness,2020.1.2,Win32,60,3EFNPKWBMTRWJ6O6N9M4HJR0TPH03E,A21CAWN21WWO91,3OF2M9AATHR2390X2BWXSN6CCXKZKC,AMFO9,AMFO9,3OF2M9AATHR2390X2BWXSN6CCXKZKC,3OF2M9AATHR2390X2BWXSN6CCXKZKC,268119,268119,,,,,,,,,,
