consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,4.356,space,12.874,2,12.216,0,0,0,28,1, the towel contains 'a' letter small,the towel contains 'a' letter large,ma,83785171,1,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,4,9.423,0,1,1,13,1,art supplies on a table that has a pencil next to a hammer,art supplies on a table that does not have a pencil next to a hammer,ma,45525109,5,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,2,11.477,0,2,2,6,1,a quilt with cabins on it and assorted wood block houses ,the window of a quilt cabin,ma,23024660,2,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,3,8.623,0,3,3,26,1,a decorated bedroom the poster in the yellow box in longer than the other picture.,a decorated bedroom the poster in the yellow box is shorter in this picture.,ma,79573638,1,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,6,8.848,0,4,4,27,1,a table with a tablecloth and dishes,a table with a tablecloth and dishes,ma,81993755,5,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,5,9.617,0,5,5,25,1,an alphabet number blanket with a 4 beside the g,an alphabet nunber blanket with a 4 above the g,ma,79222679,3,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,5,11.931,0,6,6,1,1,a quilt with pictures of hand prints and a yellow apple,a quilt with pictures of hand prints and a red apple,ma,3099758,5,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,4,10.715,0,7,7,3,1,"transistors and bits and bops on a board, one rod longer than others","transistors and bits and bops on a board, all the rods are average in length",ma,8197559,6,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,5,9.954,0,8,8,0,1,a small game resembling a pool table has colored pieces on the table.  the one in yellow box is black.,a small game resembling a pool table has colored pieces on the table.  the one in the yellow box is white.,ma,1191801,2,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
,,,,3,12.493,0,9,9,29,1,there is a handle here in the yellow box,there's no handle here,ma,89354846,2,29,A28MDXDNK6QHMS,2021-01-11_08h15.25.391,MetaAwareness,2020.1.2,Win32,60,329E6HTMSX5YWWVAR2WM03697P0K3L,A28MDXDNK6QHMS,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,U4VO1,U4VO1,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,3OVR4I9USQM8BFA3UNQ4UD5CAC64Q2,268251,268251,,,,,,,,,,
