consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,20.598415,space,18.8335,2,23.3552,0,0,0,3,1,"transistors and bits and bops on a board, one rod longer than others","transistors and bits and bops on a board, all the rods are average in length",ma,8197559,6,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,2,9.167395,0,1,1,17,1,a picture of a desk with flowers and a pile of stones that stick out a little.,a picture of a desk with flowers and a pile of stones.,ma,56835136,2,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,1,6.13842,0,2,2,23,1,a bunch of cupcakes with an h in the midle,a bunch of cupcakes with an e in the middle,ma,77345858,6,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,3,17.001525,0,3,3,20,1,a pile of decorative dishes. a blue bowl rests at the bottom while a yellow bowl with a green interior sits in top,a pile of decorative dishes. a blue bowl rests at the bottom while a yellow bowl with and white interior sits on top,ma,62224663,6,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,1,6.836805,0,4,4,5,1,pirate themed cupcakes and a variety of other dessert treats,a smiley face sticker on a bag of goodies,ma,18345691,1,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,2,8.35958,0,5,5,7,1,a very messy craft table with a bright yellow book on top of a stack,a very messy craft table with a bright red book on top of a stack,ma,23199105,7,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,6,9.36262,0,6,6,25,1,an alphabet number blanket with a 4 beside the g,an alphabet nunber blanket with a 4 above the g,ma,79222679,3,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,3,6.652025,0,7,7,28,1, the towel contains 'a' letter small,the towel contains 'a' letter large,ma,83785171,1,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,1,5.021925,0,8,8,6,1,a quilt with cabins on it and assorted wood block houses ,the window of a quilt cabin,ma,23024660,2,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
,,,,6,6.626815,0,9,9,27,1,a table with a tablecloth and dishes,a table with a tablecloth and dishes,ma,81993755,5,69, A2YB18JHC2C7GF,2021-01-11_10h37.08.703,MetaAwareness,2020.1.2,Win32,60,3VIVIU06FLF8CNDWXHGPJM02FCZIMV,A2YB18JHC2C7GF,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,FG4Z1,FG4Z1,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,3Z4XG4ZF49UT3DYHS4B95XHA927X8J,268251,268251,,,,,,,,,,
