start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
16:18:50:754,16:19:4:384,16:19:19:282,16:19:19:299,space,5.891,16:19:25:194,16:19:25:202,space,6.582,16:19:31:820,16:19:32:844,,space,7.987,16:19:40:876,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.002604167,-0.12109375,0,0,0,16:19:41:907,,space,4.541,16:19:46:469,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.002604167,-0.12109375,0,0,0,16:19:47:473,,space,2.748,16:19:50:250,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.002604167,-0.12109375,0,0,0,16:19:51:255,return,8.708,16:19:59:968,16:20:0:998,,return,52.067,16:20:53:104,this picture is very claver ,very nice  picture,0.365885417,-0.325520833,0,0,0,0,0,0,9,1,A1M1YNJKS0IDZY,35,rensink_Mosque-a_w_outline.jpg,rensink_Mosque-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:20:54:133,,return,14.338,16:21:8:499,like,good,0.388020833,-0.401041667,0,0,0,0,1,1,5,1,A1M1YNJKS0IDZY,26,rensink_Harbor-a_w_outline.jpg,rensink_Harbor-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:21:9:536,,return,28.915,16:21:38:475,very nice place,like picture,0.272135417,-0.268229167,0,0,0,0,2,2,0,1,A1M1YNJKS0IDZY,3,rensink_Barns-a_w_outline.jpg,rensink_Barns-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:21:39:510,,return,16.572,16:21:56:96,good,like,0.127604167,-0.28125,0,0,0,0,3,3,2,1,A1M1YNJKS0IDZY,6,rensink_Beach-a_w_outline.jpg,rensink_Beach-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:21:57:125,,return,18.567,16:22:15:717,army,very hanast,0.16796875,-0.286458333,0,0,0,0,4,4,4,1,A1M1YNJKS0IDZY,14,rensink_Chopper-a_w_outline.jpg,rensink_Chopper-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:22:16:718,,return,23.514,16:22:40:248,good,like,0.180989583,-0.295572917,0,0,0,0,5,5,7,1,A1M1YNJKS0IDZY,29,rensink_Kayak-a_w_outline.jpg,rensink_Kayak-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:22:41:272,,return,59.733,16:23:41:33,i like army,good,0.192708333,-0.28125,0,0,0,0,6,6,10,1,A1M1YNJKS0IDZY,40,rensink_Pilots-a_w_outline.jpg,rensink_Pilots-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:23:42:60,,return,40.772,16:24:22:846,it traval in bot,mising pot,0.220052083,-0.27734375,0,0,0,0,7,7,6,1,A1M1YNJKS0IDZY,28,rensink_Ice-a_w_outline.jpg,rensink_Ice-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:24:23:874,,return,26.924,16:24:50:829,nice ,mising picture,0.12109375,-0.28125,0,0,0,0,8,8,1,1,A1M1YNJKS0IDZY,4,rensink_BarnTrack-a_w_outline.jpg,rensink_BarnTrack-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:24:51:844,,return,10.59,16:25:2:444,same,same,0.067708333,-0.234375,0,0,0,0,9,9,3,1,A1M1YNJKS0IDZY,13,rensink_Castle-a_w_outline.jpg,rensink_Castle-b_w_outline.jpg,36,A1M1YNJKS0IDZY,2020-12-16_16h19.03.928,MetaAwareness,2020.1.2,Win32,60,3QGHA0EA0K3UURT4V9UV6XYGIZ7BW6,3QECW5O0KI43ZE6VPW394AMDRTLT5K,0WEQ3,0WEQ3,3QECW5O0KI43ZE6VPW394AMDRTLT5K,3QECW5O0KI43ZE6VPW394AMDRTLT5K,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
