start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
12:28:22:255,12:28:57:122,12:29:12:33,12:29:12:41,space,23.18776,12:29:35:250,12:29:35:263,space,3.969585,12:29:39:244,12:29:40:271,,space,32.676705,12:30:12:985,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.12109375,-0.338541667,0,0,0,12:30:13:997,,space,10.168635,12:30:24:192,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.12109375,-0.338541667,0,0,0,12:30:25:195,,space,6.33066,12:30:31:542,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.12109375,-0.338541667,0,0,0,12:30:32:560,return,12.25306,12:30:44:828,12:30:45:855,,return,173.32165,12:33:39:217,       each of images  very nice place ,each of images very nice place,0.287760417,-0.322916667,0,0,0,0,0,0,2,1,A24TVS9MMCGD7L,13,rensink_Castle-a_w_outline.jpg,rensink_Castle-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:33:40:226,,return,179.28355,12:36:39:531,the air  helcopter  watching pilot ,the ar helcopter watching pilot,0.365885417,-0.498697917,0,0,0,0,1,1,3,1,A24TVS9MMCGD7L,15,rensink_Cockpit-a_w_outline.jpg,rensink_Cockpit-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:36:40:549,,return,96.36488,12:38:16:933, very nice plac birds,very nice plac  birds,0.421807747,-0.316355811,0,0,0,0,2,2,1,1,A24TVS9MMCGD7L,7,rensink_Birds-a_w_outline.jpg,rensink_Birds-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:38:17:946,,return,78.19918,12:39:36:164,water boating two memabers,water boating two memabers,0.335724534,-0.411047346,0,0,0,0,3,3,10,1,A24TVS9MMCGD7L,46,rensink_Water-a_w_outline.jpg,rensink_Water-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:39:37:170,,return,138.128555,12:41:55:318,wine and fruits,wine and fruits,0.510760402,-0.244619799,0,0,0,0,4,4,11,1,A24TVS9MMCGD7L,48,rensink_Wine-a_w_outline.jpg,rensink_Wine-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:41:56:322,,return,89.32604,12:43:25:668,train platform,train platform,0.882352941,0.223098996,0,0,0,0,5,5,9,1,A24TVS9MMCGD7L,43,rensink_Station-a_w_outline.jpg,rensink_Station-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43:26:674,,return,46.075725,12:44:12:767,statues,statues,0.319942611,-0.444045911,0,0,0,0,6,6,4,1,A24TVS9MMCGD7L,20,rensink_Egypt-a_w_outline.jpg,rensink_Egypt-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44:13:781,,return,45.827905,12:44:59:624,water one men boat,water one men boat,0.12625538,-0.317790531,0,0,0,0,7,7,5,1,A24TVS9MMCGD7L,29,rensink_Kayak-a_w_outline.jpg,rensink_Kayak-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45:0:653,,return,11.81626,12:45:12:485,men,men,-0.193687231,-0.032281205,0,0,0,0,8,8,0,1,A24TVS9MMCGD7L,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45:13:516,,return,63.600645,12:46:17:149,hils,hills,-0.203730273,-0.264705882,0,0,0,0,9,9,6,1,A24TVS9MMCGD7L,30,rensink_Kayaker-a_w_outline.jpg,rensink_Kayaker-b_w_outline.jpg,46,A24TVS9MMCGD7L,2020-12-16_12h28.56.840,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,KPDM3,KPDM3,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,3MD9PLUKKJH3BFL0ZOODKFNG38VZNG,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
