start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
11:15:39:469,11:15:47:579,11:16:2:542,11:16:2:544,space,6.751425,11:16:9:308,11:16:9:314,space,10.11414,11:16:19:443,11:16:20:459,,space,16.06386,11:16:36:543,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.591145833,-0.087239583,0,0,0,11:16:37:558,,space,8.361195,11:16:45:925,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.438802083,-0.125,0,0,0,11:16:46:942,,space,9.50092,11:16:56:458,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.438802083,-0.125,0,0,0,11:16:57:477,return,6.938035,11:17:4:424,11:17:5:441,,return,63.18018,11:18:8:639,a person on a boat looking at cliffs,a person in a boat looking at smaller cliffs,0.173177083,-0.282552083,0,0,0,0,0,0,7,1,A3DCRZTX0HIHBJ,30,rensink_Kayaker-a_w_outline.jpg,rensink_Kayaker-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18:9:653,,return,68.74904,11:19:18:418,a man fishing in a river with long shoals of sand around him.,a man fishing in a river with smaller shoals of sand around him,0.21484375,-0.270833333,0,0,0,0,1,1,6,1,A3DCRZTX0HIHBJ,23,rensink_Fishing-a_w_outline.jpg,rensink_Fishing-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19:19:433,,return,68.570385,11:20:28:16,tourists looking at an egyptian sculpture in front of an archway,tourists looking at an egyptian sculpture blocking an archway,0.203125,-0.305989583,0,0,0,0,2,2,4,1,A3DCRZTX0HIHBJ,20,rensink_Egypt-a_w_outline.jpg,rensink_Egypt-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20:29:32,,return,39.788875,11:21:8:831,a middle eastern city scene with three turrets ,a middle eastern city scene with two turrets,0.09765625,-0.333333333,0,0,0,0,3,3,9,1,A3DCRZTX0HIHBJ,35,rensink_Mosque-a_w_outline.jpg,rensink_Mosque-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:21:9:846,,return,72.83289,11:22:22:694,a farmhouse scene with trees reflected in a lake,a farmhouse scene reflected n a lake without trees,0.114583333,-0.309895833,0,0,0,0,4,4,5,1,A3DCRZTX0HIHBJ,21,rensink_FarmByPond-a_w_outline.jpg,rensink_FarmByPond-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:22:23:709,,return,67.42439,11:23:31:140,three people and a seal on a rock outcropping,three people and a seal on a shorter rock outcropping,0.196614583,-0.309895833,0,0,0,0,5,5,11,1,A3DCRZTX0HIHBJ,41,rensink_Seal-a_w_outline.jpg,rensink_Seal-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:23:32:156,,return,49.006735,11:24:21:172,two women with fruit in front of a white building,two women with fruit in front of an orange building ,0.15234375,-0.28515625,0,0,0,0,6,6,10,1,A3DCRZTX0HIHBJ,37,rensink_Nurses-a_w_outline.jpg,rensink_Nurses-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24:22:188,,return,49.754135,11:25:11:953,a european city scene reflected in rippling water,a european city scene with no reflection on calm water,0.154947917,-0.291666667,0,0,0,0,7,7,2,1,A3DCRZTX0HIHBJ,12,rensink_CanalBridge-a_w_outline.jpg,rensink_CanalBridge-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:25:12:969,,return,49.900085,11:26:2:883,an amish farmer on a hay wagon wearing a white shirt,an amish farmer on a hay wagon wearing a pink shirt,0.149739583,-0.28125,0,0,0,0,8,8,0,1,A3DCRZTX0HIHBJ,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:26:3:899,,return,54.150485,11:26:58:64,a dinner table with a glass of wine at one o'clock,a dinner table with a glass of wine at 12 o'clock,0.135416667,-0.287760417,0,0,0,0,9,9,3,1,A3DCRZTX0HIHBJ,17,rensink_Dinner-a_w_outline.jpg,rensink_Dinner-b_w_outline.jpg,54,A3DCRZTX0HIHBJ,2020-12-16_11h15.47.466,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,XQI33,XQI33,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,33ISQZVXPQP7CIDZIKVRT6SJVMWCCD,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
