start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
13:32:25:882,13:32:42:3,13:32:56:938,13:32:56:941,space,11.46454,13:33:8:480,13:33:8:483,space,25.794245,13:33:34:286,13:33:35:288,,space,32.21502,13:34:7:541,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.181132812,-0.062517361,0,0,0,13:34:8:549,,space,7.831655,13:34:16:407,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.181132812,-0.062517361,0,0,0,13:34:17:424,,space,6.900935,13:34:24:357,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.181132812,-0.062517361,0,0,0,13:34:25:375,return,8.577845,13:34:33:970,13:34:34:989,,return,41.22392,13:35:16:241,an ancient building with three spires,an ancient building with two spires,0.195258247,-0.295507813,0,0,0,0,0,0,8,1,A3SJVR4BROAIJO,35,rensink_Mosque-a_w_outline.jpg,rensink_Mosque-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35:17:259,,return,80.561015,13:36:37:846,an ancient egyptian sculpture of a pharoah in front of pillars ,an ancient egyptian sculpture of a pharoah with a large gap between pillars,-0.103483073,-0.412277561,0,0,0,0,1,1,4,1,A3SJVR4BROAIJO,20,rensink_Egypt-a_w_outline.jpg,rensink_Egypt-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36:38:854,,return,84.51633,13:38:3:411,a french street with a cathedral in the background that is surrounded by large trees,a french street with a cathedral in the background surrounded by small trees,0.421305339,-0.36672092,0,0,0,0,2,2,9,1,A3SJVR4BROAIJO,36,rensink_NotreDame-a_w_outline.jpg,rensink_NotreDame-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:38:4:427,,return,22.11625,13:38:26:572,a woman scuba diving next to green coral,a woman scuba diving next to red coral,0.693804253,-0.25641276,0,0,0,0,3,3,3,1,A3SJVR4BROAIJO,18,rensink_Diver-a_w_outline.jpg,rensink_Diver-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:38:27:574,,return,37.520205,13:39:5:128,a man working at a processing facility while wearing a blue checkered shirt,a man working at a processing facility while wearing a green checkered shirt,0.394786241,-0.251443142,0,0,0,0,4,4,5,1,A3SJVR4BROAIJO,22,rensink_Farmer-a_w_outline.jpg,rensink_Farmer-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39:6:145,,return,50.1242,13:39:56:299,a dinner table by a fireplace with a wine glass next to a wine bottle,a dinner table by a fireplace with a wine glass next to a full plate,0.182562934,-0.250797526,0,0,0,0,5,5,2,1,A3SJVR4BROAIJO,17,rensink_Dinner-a_w_outline.jpg,rensink_Dinner-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39:57:315,,return,66.544595,13:41:3:881,a man fishing in a lake in the mountains while standing near some sticks,a man fishing in a lake in the mountains while standing near a bush,-0.145236545,-0.293104384,0,0,0,0,6,6,6,1,A3SJVR4BROAIJO,23,rensink_Fishing-a_w_outline.jpg,rensink_Fishing-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41:4:898,,return,40.88431,13:41:45:817,two birds looking at each other with some birds and sky behind them,two birds looking at each other with some birds and grass behind them,0.076969401,-0.274278429,0,0,0,0,7,7,0,1,A3SJVR4BROAIJO,7,rensink_Birds-a_w_outline.jpg,rensink_Birds-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41:46:833,,return,56.446545,13:42:43:299,three pilots standing in front of a helicoper that is in front of a grey building,three pilots standing in front of a helicopter that is in front of a yellow building,0.162727865,-0.283013238,0,0,0,0,8,8,11,1,A3SJVR4BROAIJO,40,rensink_Pilots-a_w_outline.jpg,rensink_Pilots-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42:44:316,,return,34.82705,13:43:19:163,a european city by the water with a reflection of a building in the water,a european city by the water without a reflection of a building in the water,0.18211263,-0.287201606,0,0,0,0,9,9,1,1,A3SJVR4BROAIJO,12,rensink_CanalBridge-a_w_outline.jpg,rensink_CanalBridge-b_w_outline.jpg,26,A3SJVR4BROAIJO,2020-12-16_13h32.41.753,MetaAwareness,2020.1.2,MacIntel,60,3OID399FXHALY25TJGB1XZ0GQGYFDM,3G2UL9A02EHCKK92HCADRK8VYP667Y,0L2G3,0L2G3,3G2UL9A02EHCKK92HCADRK8VYP667Y,3G2UL9A02EHCKK92HCADRK8VYP667Y,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
