start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
14:24:40:650,14:24:48:203,14:25:3:169,14:25:3:173,space,9.66364,14:25:12:876,14:25:12:879,space,17.38533,14:25:30:272,14:25:31:279,,space,23.616825,14:25:54:918,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.373611111,-0.150694444,0,0,0,14:25:55:925,,space,14.97562,14:26:10:911,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.167361111,-0.166666667,0,0,0,14:26:11:918,,space,7.88483,14:26:19:814,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.167361111,-0.166666667,0,0,0,14:26:20:822,return,5.62539,14:26:26:453,14:26:27:467,,return,54.013175,14:27:21:496,a lake in front of a town reflecting the building in front of it,a lake in front of a town showing no reflection,0.218055556,-0.131944444,0,0,0,0,0,0,4,1,AXXA481XH6FKE,12,rensink_CanalBridge-a_w_outline.jpg,rensink_CanalBridge-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:27:22:502,,return,37.38821,14:27:59:906,a cluttered looking bus with four men standing on top of it,a cluttered looking bus with three men standing on top of it,0.175,-0.163194444,0,0,0,0,1,1,2,1,AXXA481XH6FKE,9,rensink_Bus-a_w_outline.jpg,rensink_Bus-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:28:0:912,,return,39.653085,14:28:40:580,a very chaotic looking sailing event with low waves at the background,a very chaotic looking sailing event with high waves at the background,0.097222222,-0.190277778,0,0,0,0,2,2,10,1,AXXA481XH6FKE,27,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:28:41:586,,return,39.84789,14:29:21:448,a man in a blue shirt sitting on a cart being dragged by a horse,a man in a pink shirt sitting on a cart being dragged by a horse,0.296527778,-0.175694444,0,0,0,0,3,3,0,1,AXXA481XH6FKE,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:29:22:455,,return,57.74808,14:30:20:212,a couple enjoying a meal with a railing behind their neckline,a couple enjoying a meal with a railing behind their hairline,0.482638889,-0.293055556,0,0,0,0,4,4,7,1,AXXA481XH6FKE,19,rensink_Eating-a_w_outline.jpg,rensink_Eating-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:30:21:219,,return,68.224565,14:31:29:456,a man standing next to a camel in the middle of the desert with no sand behind the tower,a man standing next to a camel in the midel of the desert with sand behind the tower,0.224305556,-0.19375,0,0,0,0,5,5,3,1,AXXA481XH6FKE,11,rensink_Camel-a_w_outline.jpg,rensink_Camel-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:31:30:462,,return,65.224025,14:32:35:699,tourists watching a very tall egypt statue which stands between two columns,tourists watching a very tall egypt statue which stands next to one column,0.111805556,-0.209027778,0,0,0,0,6,6,8,1,AXXA481XH6FKE,20,rensink_Egypt-a_w_outline.jpg,rensink_Egypt-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:32:36:706,,return,30.62982,14:33:7:346,three people in costumes standing next to a while light,three people in costumes standing next to a yellow light,0.217361111,-0.184722222,0,0,0,0,7,7,6,1,AXXA481XH6FKE,16,rensink_Description-a_w_outline.jpg,rensink_Description-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:33:8:352,,return,33.893785,14:33:42:257,a water fountain with a low volume of water at the top,a water fountain with a large volume of water at the top,0.180555556,-0.215972222,0,0,0,0,8,8,9,1,AXXA481XH6FKE,25,rensink_Fountain-a_w_outline.jpg,rensink_Fountain-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:33:43:262,,return,47.54122,14:34:30:813,a big castle which has half of its front door hidden by a wall,a big castle which has most of its front door hidden by a wall,0.128472222,-0.197222222,0,0,0,0,9,9,5,1,AXXA481XH6FKE,13,rensink_Castle-a_w_outline.jpg,rensink_Castle-b_w_outline.jpg,28,AXXA481XH6FKE,2020-12-16_14h24.48.111,MetaAwareness,2020.1.2,Win32,60,3ZQX1VYFTE83NKMV1BJBY1VT7R98OE,39N5ACM9HFQO89F0B576BGQIOK89P7,9AN93,9AN93,39N5ACM9HFQO89F0B576BGQIOK89P7,39N5ACM9HFQO89F0B576BGQIOK89P7,264613,264613,,,,,,,,,,,,,,,,,,,,,,,,
