start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
12:4:22:165,12:4:28:491,12:4:43:440,12:4:43:442,space,16.14309,12:4:59:615,12:4:59:621,space,2.762065,12:5:2:402,12:5:3:413,,space,25.30657,12:5:28:736,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.2688,-0.308,0,0,0,12:5:29:759,,space,18.72954,12:5:48:519,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.6272,-0.1112,0,0,0,12:5:49:525,,space,4.913015,12:5:54:464,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.0816,-0.3512,0,0,0,12:5:55:479,return,8.157285,12:6:3:638,12:6:4:663,,return,22.54341,12:6:27:181,good ,nice,-0.3968,-0.316,0,0,0,0,0,0,1,1,A2TMP6ULAPZ2RS,2,rensink_Army-a_w_outline.jpg,rensink_Army-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:6:28:201,,return,17.427,12:6:45:646,colours,nice image,0.2528,-0.3128,0,0,0,0,1,1,8,1,A2TMP6ULAPZ2RS,40,rensink_Pilots-a_w_outline.jpg,rensink_Pilots-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:6:46:745,,return,10.468225,12:6:57:243,blue,click blue,0.2272,-0.2872,0,0,0,0,2,2,6,1,A2TMP6ULAPZ2RS,37,rensink_Nurses-a_w_outline.jpg,rensink_Nurses-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:6:58:260,,return,8.58887,12:7:6:862,tree,nothing tree,0.24,-0.332,0,0,0,0,3,3,7,1,A2TMP6ULAPZ2RS,38,rensink_Obelisk-a_w_outline.jpg,rensink_Obelisk-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:7:7:880,,return,14.458405,12:7:22:329,bed image,image good,0.3792,-0.3848,0,0,0,0,4,4,10,1,A2TMP6ULAPZ2RS,43,rensink_Station-a_w_outline.jpg,rensink_Station-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:7:23:349,,return,12.558775,12:7:35:920,sad,nice,0.5808,-0.3224,0,0,0,0,5,5,5,1,A2TMP6ULAPZ2RS,27,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:7:36:943,,return,38.204275,12:8:15:177,write,moce,0.1648,-0.2936,0,0,0,0,6,6,4,1,A2TMP6ULAPZ2RS,12,rensink_CanalBridge-a_w_outline.jpg,rensink_CanalBridge-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:8:16:176,,return,36.63809,12:8:52:849,4 people,3 people,0.12,-0.3144,0,0,0,0,7,7,9,1,A2TMP6ULAPZ2RS,42,rensink_Soldiers-a_w_outline.jpg,rensink_Soldiers-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:8:53:869,,return,22.054085,12:9:15:917,man,pink colurs ,0.2224,-0.2872,0,0,0,0,8,8,0,1,A2TMP6ULAPZ2RS,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:9:16:937,,return,8.90601,12:9:25:876,tree,nothing,0.2208,-0.3304,0,0,0,0,9,9,2,1,A2TMP6ULAPZ2RS,5,rensink_Barrels-a_w_outline.jpg,rensink_Barrels-b_w_outline.jpg,35,A2TMP6ULAPZ2RS,2020-12-17_12h04.28.297,MetaAwareness,2020.1.2,Win32,60,3B9XR6P1WFY8O7T5OABGH748G46JBT,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,ICXQ2,ICXQ2,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,3QXNC7EIPJYLKSBGUKSGWFPAGK890S,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
