start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
13:56:29:827,13:56:34:120,13:56:49:86,13:56:49:90,space,20.026755,13:57:9:206,13:57:9:211,space,16.244015,13:57:25:491,13:57:26:507,,space,28.761685,13:57:55:362,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.541195046,-0.19232386,0,0,0,13:57:56:378,,space,11.22135,13:58:7:647,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.541195046,-0.19232386,0,0,0,13:58:8:663,,space,14.56432,13:58:23:282,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.541195046,-0.19232386,0,0,0,13:58:24:303,return,5.127710001,13:58:29:449,13:58:30:483,,return,57.553375,13:59:28:100,a rocky beach with a blue upside down boat,a rocky beach with a green upside down boat,0.253860113,-0.326012959,0,0,0,0,0,0,3,1,A3C8JI69WPTKWH,6,rensink_Beach-a_w_outline.jpg,rensink_Beach-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:59:29:107,,return,65.863585,14:0:35:69,a fenced farm with green grass,a fenced farm with brown grass,0.254177945,-0.379526534,0,0,0,0,1,1,2,1,A3C8JI69WPTKWH,4,rensink_BarnTrack-a_w_outline.jpg,rensink_BarnTrack-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:0:36:82,,return,55.54519,14:1:31:708,a man with a light blue shirt riding a horse drawn carriage on a farm,a man with a pink shirt riding a horse drawn carriage on a farm,0.225152764,-0.275288099,0,0,0,0,2,2,0,1,A3C8JI69WPTKWH,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:1:32:723,,return,73.01852,14:2:45:841,a massive castle with a circular window under an arch ,a massive castle with an arch  ,0.550407029,-0.307353182,0,0,0,0,3,3,5,1,A3C8JI69WPTKWH,13,rensink_Castle-a_w_outline.jpg,rensink_Castle-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:2:46:850,,return,162.07794,14:5:29:27,a field with a helicoptor hovering over a vehicle with a wide shadow,a field with a helicoptor hovering over a vehicle with a short shadow,0.189489009,-0.293245571,0,0,0,0,4,4,6,1,A3C8JI69WPTKWH,14,rensink_Chopper-a_w_outline.jpg,rensink_Chopper-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:5:30:38,,return,76.81313,14:6:46:951,a dining table in front of a fire place with a glass of red wine next to a wine bottle,a dining table in front of a fire place with a glass of red wine next to a plate of food,0.162580996,-0.282213747,0,0,0,0,5,5,7,1,A3C8JI69WPTKWH,17,rensink_Dinner-a_w_outline.jpg,rensink_Dinner-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:6:47:965,,return,65.95137,14:7:54:10,a scenic view in front of a window with a log on the bottom left corner,a schenic view in front of a window without a log in the bottom left corner,0.183193898,-0.394485113,0,0,0,0,6,6,10,1,A3C8JI69WPTKWH,47,rensink_Window-a_w_outline.jpg,rensink_Window-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:7:55:24,,return,81.53582,14:9:16:641,a country side setting with a red barn,a country side setting with a green barn,0.306107489,-0.273422121,0,0,0,0,7,7,1,1,A3C8JI69WPTKWH,3,rensink_Barns-a_w_outline.jpg,rensink_Barns-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:9:17:651,,return,39.89072,14:9:57:652,"a food display with bread, fruits, wine, and cheese","a food display with bread, fruits, and wine",0.182655635,-0.288185901,0,0,0,0,8,8,11,1,A3C8JI69WPTKWH,48,rensink_Wine-a_w_outline.jpg,rensink_Wine-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:9:58:656,,return,71.16311,14:11:9:902,a lake under blue skies with a fisherman to the left of the large mountain,a lake under blue skies with a fisherman in front of the large mountain,0.175135335,-0.323270382,0,0,0,0,9,9,8,1,A3C8JI69WPTKWH,23,rensink_Fishing-a_w_outline.jpg,rensink_Fishing-b_w_outline.jpg,40,A3C8JI69WPTKWH,2020-12-17_13h56.33.975,MetaAwareness,2020.1.2,MacIntel,60,3OQQD2WO8J97Q15MRZBANNRWFX6I3R,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,WQ1A2,WQ1A2,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,3A1PQ49WVIKE6NEHOFK8N1684PC1H3,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
