start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
14:36:35:779,14:36:41:755,14:36:56:714,14:36:56:722,space,13.14595,14:37:9:871,14:37:9:879,space,0.75539,14:37:10:638,14:37:11:649,,space,3.338235,14:37:15:22,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.025,-0.132407407,0,0,0,14:37:16:27,,space,1.49406,14:37:17:534,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.025,-0.132407407,0,0,0,14:37:18:539,,space,1.44346,14:37:19:996,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.025,-0.132407407,0,0,0,14:37:21:7,return,1.076015,14:37:22:88,14:37:23:112,,return,42.16608,14:38:5:285,a train station showing the daytime sky ,a train station showing the daytime sky,0.461111111,-0.280555556,0,0,0,0,0,0,10,1,A3TI6XISG3CKJF,43,rensink_Station-a_w_outline.jpg,rensink_Station-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:38:6:293,,return,39.325675,14:38:45:629,a barn and a bridge near grass,a barn and a bridge over dirt,0.246296296,-0.215740741,0,0,0,0,1,1,0,1,A3TI6XISG3CKJF,4,rensink_BarnTrack-a_w_outline.jpg,rensink_BarnTrack-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:38:46:637,,return,35.61568,14:39:22:262,a parkings structure next to a fountain,a parking structure next to a fountain,0.082407407,-0.277777778,0,0,0,0,2,2,7,1,A3TI6XISG3CKJF,25,rensink_Fountain-a_w_outline.jpg,rensink_Fountain-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:39:23:268,,return,54.311875,14:40:17:588,united states troups on a hummer in a foreign country,united states troups on a hummer in a foreign country,0.169444444,-0.236111111,0,0,0,0,3,3,9,1,A3TI6XISG3CKJF,42,rensink_Soldiers-a_w_outline.jpg,rensink_Soldiers-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40:18:596,,return,18.28084,14:40:36:890,a couple enjoying tacos and wine,a couple enjoying tacos and wine,0.214814815,-0.247222222,0,0,0,0,4,4,6,1,A3TI6XISG3CKJF,19,rensink_Eating-a_w_outline.jpg,rensink_Eating-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40:37:895,,return,35.20323,14:41:13:106,a dinner on a red checked table cloth served with a glass of wine,a dinner on a red checked table cloth served with a glass of wine,0.123148148,-0.224074074,0,0,0,0,5,5,5,1,A3TI6XISG3CKJF,17,rensink_Dinner-a_w_outline.jpg,rensink_Dinner-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:41:14:113,,return,28.23708,14:41:42:358,a helicopter lifting or dropping a hummer,a helicopter lifting or dropping a hummer,0.20462963,-0.243518519,0,0,0,0,6,6,4,1,A3TI6XISG3CKJF,14,rensink_Chopper-a_w_outline.jpg,rensink_Chopper-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:41:43:365,,return,19.167065,14:42:2:537,two blue footed boobies looking at each other,two blue footed boobies looking at each other,0.137037037,-0.233333333,0,0,0,0,7,7,2,1,A3TI6XISG3CKJF,7,rensink_Birds-a_w_outline.jpg,rensink_Birds-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42:3:539,,return,39.379335,14:42:42:926,three people fising on a boat with a backpack on deck,three people fishing on a boat with a chair on deck,0.182407407,-0.25462963,0,0,0,0,8,8,8,1,A3TI6XISG3CKJF,34,rensink_Marling-a_w_outline.jpg,rensink_Marling-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42:43:929,,return,22.86393,14:43:6:801,a tortise with two persons and a blue sky background,a tortise with two persons and a blue sky background,0.112037037,-0.259259259,0,0,0,0,9,9,11,1,A3TI6XISG3CKJF,45,rensink_Turtle-a_w_outline.jpg,rensink_Turtle-b_w_outline.jpg,32,A3TI6XISG3CKJF,2020-12-17_14h36.41.598,MetaAwareness,2020.1.2,Win32,60,3OREP8RUT3EYX534G4QDKUCSODXGBW,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,9N4A2,9N4A2,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,3A4TN5196LLYTQOF4C9S4XPZ8OKCHP,264712,264712,,,,,,,,,,,,,,,,,,,,,,,,
