consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Example_1_resp.keys,Example_1_response.keys,Example_1_response.rt,Example_1_a_text,Example_1_b_text,Example_1_mouse.x,Example_1_mouse.y,Example_1_mouse.leftButton,Example_1_mouse.midButton,Example_1_mouse.rightButton,Example_2_resp.keys,Example_2_response.keys,Example_2_response.rt,Example_2_a_text,Example_2_b_text,Example_2_mouse.x,Example_2_mouse.y,Example_2_mouse.leftButton,Example_2_mouse.midButton,Example_2_mouse.rightButton,Example_3_resp.keys,Example_3_response.keys,Example_3_response.rt,Example_3_a_text,Example_3_b_text,Example_3_mouse.x,Example_3_mouse.y,Example_3_mouse.leftButton,Example_3_mouse.midButton,Example_3_mouse.rightButton,Start_resp_2.keys,Start_resp_2.rt,Airplane_resp.keys,Airplane_response.keys,Airplane_response.rt,Airplane_a_text,Airplane_b_text,Airplane_mouse.x,Airplane_mouse.y,Airplane_mouse.leftButton,Airplane_mouse.midButton,Airplane_mouse.rightButton,Boat_resp.keys,Boat_response.keys,Boat_response.rt,Boat_a_text,Boat_b_text,Boat_mouse.x,Boat_mouse.y,Boat_mouse.leftButton,Boat_mouse.midButton,Boat_mouse.rightButton,user_resp.keys,trial_response.keys,trial_response.rt,image_1_text,image_2_text,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_response.keys,Cow_response.rt,Cow_a_text,Cow_b_text,Cow_mouse.x,Cow_mouse.y,Cow_mouse.leftButton,Cow_mouse.midButton,Cow_mouse.rightButton,Garden_resp.keys,Garden_response.keys,Garden_response.rt,Garden_a_text,Garden_b_text,Garden_mouse.x,Garden_mouse.y,Garden_mouse.leftButton,Garden_mouse.midButton,Garden_mouse.rightButton
space,7.087,space,15.48605,,space,103.57556,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.03515625,-0.399739583,0,0,0,,space,15.81983,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.03515625,-0.399739583,0,0,0,,space,8.528535,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.03515625,-0.399739583,0,0,0,return,10.687565,,return,189.013835,aeroplane is fly on the yellow sky.,nothingis fly on te sky. ,0.447916667,-0.151041667,0,0,0,,return,167.698125, a boat is runing over th sea,in this image nothing is running over the sea.,0.608072917,-0.092447917,0,0,0,,return,382.260875,a wall have  long distance with  the shadow.,a wall have short distace with the shadow.,0.619791667,-0.274739583,0,0,0,0,0,0,3,1,A1I27VG9AHPHA7,13,rensink_Castle-a_w_outline.jpg,rensink_Castle-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,169.106335,a horse driver shirt is blue.,a horse driver shirt is pink color.,0.40625,-0.315104167,0,0,0,0,1,1,0,1,A1I27VG9AHPHA7,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,217.250435,a man behind wall color is white paint.,a man behind wall color is pink.,0.29296875,-0.272135417,0,0,0,0,2,2,6,1,A1I27VG9AHPHA7,37,rensink_Nurses-a_w_outline.jpg,rensink_Nurses-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,87.75245,a marked box is long view,a marked box is short view.,-0.048177083,-0.498697917,0,0,0,0,3,3,5,1,A1I27VG9AHPHA7,27,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,110.071985,nothing is different,nothing is incorrect.,0.170572917,-0.26171875,0,0,0,0,4,4,4,1,A1I27VG9AHPHA7,23,rensink_Fishing-a_w_outline.jpg,rensink_Fishing-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,45.83279,grass is green.,grass is grey.,0.23828125,-0.305989583,0,0,0,0,5,5,1,1,A1I27VG9AHPHA7,5,rensink_Barrels-a_w_outline.jpg,rensink_Barrels-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,67.52019,two mans are left side.,1 man are left side,0.265625,-0.126302083,0,0,0,0,6,6,7,1,A1I27VG9AHPHA7,42,rensink_Soldiers-a_w_outline.jpg,rensink_Soldiers-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,45.33563,2 mans mentioned,1 man mentioned,0.234375,-0.25390625,0,0,0,0,7,7,2,1,A1I27VG9AHPHA7,9,rensink_Bus-a_w_outline.jpg,rensink_Bus-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,66.126975,glass is white,glass is pink.,0.360677083,-0.274739583,0,0,0,0,8,8,9,1,A1I27VG9AHPHA7,48,rensink_Wine-a_w_outline.jpg,rensink_Wine-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,47.111635,a boat is full.,a boat is empty.,0.291666667,-0.125,0,0,0,0,9,9,8,1,A1I27VG9AHPHA7,44,rensink_SummerLake-a_w_outline.jpg,rensink_SummerLake-b_w_outline.jpg,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1I27VG9AHPHA7,,,,35,A1I27VG9AHPHA7,2020-12-10_16h48.54.699,MetaAwareness,2020.1.2,Win32,60,39O0SQZVJOA2KJ9SJY89EW436LO7RH,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,7K2R5,7K2R5,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,3R2PKQ87NXBBY7BQNJLR75VQ1FAIMC,263325,263325,,return,46.97252,cow is shown,nothing as shown.,0.29296875,-0.28125,0,0,0,,return,20.003055,none,none,0.186197917,-0.28515625,0,0,0
