consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Example_1_resp.keys,Example_1_response.keys,Example_1_response.rt,Example_1_a_text,Example_1_b_text,Example_1_mouse.x,Example_1_mouse.y,Example_1_mouse.leftButton,Example_1_mouse.midButton,Example_1_mouse.rightButton,Example_2_resp.keys,Example_2_response.keys,Example_2_response.rt,Example_2_a_text,Example_2_b_text,Example_2_mouse.x,Example_2_mouse.y,Example_2_mouse.leftButton,Example_2_mouse.midButton,Example_2_mouse.rightButton,Example_3_resp.keys,Example_3_response.keys,Example_3_response.rt,Example_3_a_text,Example_3_b_text,Example_3_mouse.x,Example_3_mouse.y,Example_3_mouse.leftButton,Example_3_mouse.midButton,Example_3_mouse.rightButton,Start_resp_2.keys,Start_resp_2.rt,Airplane_resp.keys,Airplane_response.keys,Airplane_response.rt,Airplane_a_text,Airplane_b_text,Airplane_mouse.x,Airplane_mouse.y,Airplane_mouse.leftButton,Airplane_mouse.midButton,Airplane_mouse.rightButton,Boat_resp.keys,Boat_response.keys,Boat_response.rt,Boat_a_text,Boat_b_text,Boat_mouse.x,Boat_mouse.y,Boat_mouse.leftButton,Boat_mouse.midButton,Boat_mouse.rightButton,user_resp.keys,trial_response.keys,trial_response.rt,image_1_text,image_2_text,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_response.keys,Cow_response.rt,Cow_a_text,Cow_b_text,Cow_mouse.x,Cow_mouse.y,Cow_mouse.leftButton,Cow_mouse.midButton,Cow_mouse.rightButton,Garden_resp.keys,Garden_response.keys,Garden_response.rt,Garden_a_text,Garden_b_text,Garden_mouse.x,Garden_mouse.y,Garden_mouse.leftButton,Garden_mouse.midButton,Garden_mouse.rightButton
space,67.00607,space,1.468055,,space,2.712195,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.188802083,-0.350260417,0,0,0,,space,0.669155,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.188802083,-0.350260417,0,0,0,,space,0.76542,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.188802083,-0.350260417,0,0,0,return,1.727525,,return,65.56628,   ,the plane is flying in the sky with yellow color clouds,0.118489583,-0.157552083,0,0,0,,return,56.585505,the submarine is go under the deep water,there is nothing in this image but te view of the under seais nice,0.559895833,-0.25,0,0,0,,return,56.767235,the military man is checking the street through gun,the militay man is wach the street too keep the safe,0.138020833,-0.290364583,0,0,0,0,0,0,1,1,A2ZHBK2MDL2L51,2,rensink_Army-a_w_outline.jpg,rensink_Army-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,44.526375,the perso is sitting n the horse vehicle,the different man us sitting the same horse vehicle like the first image,0.3203125,-0.29296875,0,0,0,0,1,1,0,1,A2ZHBK2MDL2L51,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,47.441155,the blue pant man is buy the vegetables in market,the grey color pant man is buy the vegables on market,0.299479167,-0.256510417,0,0,0,0,2,2,8,1,A2ZHBK2MDL2L51,33,rensink_Market-a_w_outline.jpg,rensink_Market-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,32.93428,the green grass in the home outside,the soil is in the home outside,0.225260417,-0.33984375,0,0,0,0,3,3,2,1,A2ZHBK2MDL2L51,4,rensink_BarnTrack-a_w_outline.jpg,rensink_BarnTrack-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,23.28906,the glass has the ful f wine,the red wine in the glass,0.282552083,-0.309895833,0,0,0,0,4,4,4,1,A2ZHBK2MDL2L51,17,rensink_Dinner-a_w_outline.jpg,rensink_Dinner-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,55.2674,there is lot of things in the boat,the biboat is ave the other two boats,0.28515625,-0.291666667,0,0,0,0,5,5,6,1,A2ZHBK2MDL2L51,27,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,59.841405,the girl is sitting on the chair and keep his hand back,thpink color chair one girl is sitting and keep his hand back,0.572916667,-0.494791667,0,0,0,0,6,6,7,1,A2ZHBK2MDL2L51,31,rensink_Kids-a_w_outline.jpg,rensink_Kids-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,47.85704,the flying plane is in the sea and get ready to take off,the boat is get ready to take off on the water,0.102864583,-0.282552083,0,0,0,0,7,7,5,1,A2ZHBK2MDL2L51,24,rensink_Floatplane-a_w_outline.jpg,rensink_Floatplane-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,31.468005,t big building in in the centre of the street,the building looks attract,0.196614583,-0.325520833,0,0,0,0,8,8,9,1,A2ZHBK2MDL2L51,36,rensink_NotreDame-a_w_outline.jpg,rensink_NotreDame-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,51.878565,the desert place is very ice look and the siide view is awese,the side of the desert pace looamaze,0.377604167,-0.334635417,0,0,0,0,9,9,3,1,A2ZHBK2MDL2L51,11,rensink_Camel-a_w_outline.jpg,rensink_Camel-b_w_outline.jpg,29,A2ZHBK2MDL2L51,2020-12-10_16h49.54.591,MetaAwareness,2020.1.2,Win32,60,3KQC8JMJGDV7U6U2LHTPNBQHEA3H3O,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,FZYW5,FZYW5,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,3WYGZ5XF3XI52XEJ7J2PWU99L8EKSY,263325,263325,,,,,,,,,,,,,,,,,,,,
