consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Example_1_resp.keys,Example_1_response.keys,Example_1_response.rt,Example_1_a_text,Example_1_b_text,Example_1_mouse.x,Example_1_mouse.y,Example_1_mouse.leftButton,Example_1_mouse.midButton,Example_1_mouse.rightButton,Example_2_resp.keys,Example_2_response.keys,Example_2_response.rt,Example_2_a_text,Example_2_b_text,Example_2_mouse.x,Example_2_mouse.y,Example_2_mouse.leftButton,Example_2_mouse.midButton,Example_2_mouse.rightButton,Example_3_resp.keys,Example_3_response.keys,Example_3_response.rt,Example_3_a_text,Example_3_b_text,Example_3_mouse.x,Example_3_mouse.y,Example_3_mouse.leftButton,Example_3_mouse.midButton,Example_3_mouse.rightButton,Start_resp_2.keys,Start_resp_2.rt,Airplane_resp.keys,Airplane_response.keys,Airplane_response.rt,Airplane_a_text,Airplane_b_text,Airplane_mouse.x,Airplane_mouse.y,Airplane_mouse.leftButton,Airplane_mouse.midButton,Airplane_mouse.rightButton,Boat_resp.keys,Boat_response.keys,Boat_response.rt,Boat_a_text,Boat_b_text,Boat_mouse.x,Boat_mouse.y,Boat_mouse.leftButton,Boat_mouse.midButton,Boat_mouse.rightButton,user_resp.keys,trial_response.keys,trial_response.rt,image_1_text,image_2_text,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_response.keys,Cow_response.rt,Cow_a_text,Cow_b_text,Cow_mouse.x,Cow_mouse.y,Cow_mouse.leftButton,Cow_mouse.midButton,Cow_mouse.rightButton,Garden_resp.keys,Garden_response.keys,Garden_response.rt,Garden_a_text,Garden_b_text,Garden_mouse.x,Garden_mouse.y,Garden_mouse.leftButton,Garden_mouse.midButton,Garden_mouse.rightButton
space,357.005,space,1.023,,space,0.016,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.001302083,-0.265625,0,0,0,,space,0.045,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.001302083,-0.265625,0,0,0,,space,2.233,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.001302083,-0.266927083,0,0,0,return,2.712,,return,25.281,airplane,  ,-0.416666667,-0.348958333,0,0,0,,return,12.439,house,house,0.303385417,-0.2734375,0,0,0,,return,9.636,water,water,0.161458333,-0.311197917,0,0,0,0,0,0,3,1,AXNWW5TRHTKBP,12,rensink_CanalBridge-a_w_outline.jpg,rensink_CanalBridge-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,12.69,land,land,0.352864583,-0.27734375,0,0,0,0,1,1,7,1,AXNWW5TRHTKBP,41,rensink_Seal-a_w_outline.jpg,rensink_Seal-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.187,boat,boat,0.2265625,-0.274739583,0,0,0,0,2,2,9,1,AXNWW5TRHTKBP,44,rensink_SummerLake-a_w_outline.jpg,rensink_SummerLake-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.666,man,man,0.23046875,-0.278645833,0,0,0,0,3,3,0,1,AXNWW5TRHTKBP,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.175,ball,ball,0.229166667,-0.2734375,0,0,0,0,4,4,4,1,AXNWW5TRHTKBP,16,rensink_Description-a_w_outline.jpg,rensink_Description-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,23.848,student,student,0.173177083,-0.291666667,0,0,0,0,5,5,5,1,AXNWW5TRHTKBP,31,rensink_Kids-a_w_outline.jpg,rensink_Kids-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,10.843,army,army,0.147135417,-0.295572917,0,0,0,0,6,6,8,1,AXNWW5TRHTKBP,42,rensink_Soldiers-a_w_outline.jpg,rensink_Soldiers-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,12.361,penkuin,penkuin,0.1796875,-0.2578125,0,0,0,0,7,7,2,1,AXNWW5TRHTKBP,7,rensink_Birds-a_w_outline.jpg,rensink_Birds-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.193,yellow,yellow,0.333333333,-0.302083333,0,0,0,0,8,8,6,1,AXNWW5TRHTKBP,40,rensink_Pilots-a_w_outline.jpg,rensink_Pilots-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.431,brown,green,0.22265625,-0.270833333,0,0,0,0,9,9,1,1,AXNWW5TRHTKBP,3,rensink_Barns-a_w_outline.jpg,rensink_Barns-b_w_outline.jpg,27,AXNWW5TRHTKBP,2020-12-10_14h15.47.914,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192LIB680,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,68A25,68A25,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,32AT8R96GMCJ5TJV1X6R2HI7NYOUSF,263325,263325,,,,,,,,,,,,,,,,,,,,
