consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,18.645775,space,23.976375,5,10.52103,5,3.34928,4,5.74302,0,0,0,28,1,A146MSML39KY98,47,rensink_Window-a_w_outline.jpg,rensink_Window-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,5,6.550805,0,1,1,23,1,A146MSML39KY98,38,rensink_Obelisk-a_w_outline.jpg,rensink_Obelisk-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,2,6.572435,0,2,2,5,1,A146MSML39KY98,11,rensink_Camel-a_w_outline.jpg,rensink_Camel-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,3,5.31713,0,3,3,29,1,A146MSML39KY98,48,rensink_Wine-a_w_outline.jpg,rensink_Wine-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,5,6.249965,0,4,4,9,1,A146MSML39KY98,18,rensink_Diver-a_w_outline.jpg,rensink_Diver-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,3,7.1095,0,5,5,1,1,A146MSML39KY98,4,rensink_BarnTrack-a_w_outline.jpg,rensink_BarnTrack-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,1,18.954945,0,6,6,13,1,A146MSML39KY98,23,rensink_Fishing-a_w_outline.jpg,rensink_Fishing-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,3,7.369555,0,7,7,4,1,A146MSML39KY98,9,rensink_Bus-a_w_outline.jpg,rensink_Bus-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,5,6.36524,0,8,8,26,1,A146MSML39KY98,45,rensink_Turtle-a_w_outline.jpg,rensink_Turtle-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
,,,,,,,,4,5.35054,0,9,9,25,1,A146MSML39KY98,44,rensink_SummerLake-a_w_outline.jpg,rensink_SummerLake-b_w_outline.jpg,62,f,A146MSML39KY98,2020-12-08_17h05.49.206,MetaAwareness,2020.1.2,Win32,60,3CRWSLD91L7I89OZVCTU3JWOQLCOM9,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,Z6KL3,Z6KL3,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,3LKC68YZ3B6HZ5G7PG4J00T3BJXWO8,262733,262733,,,,
