consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,18.57302,space,21.97435,5,2.652135,3,3.325405,4,8.272165,0,0,0,0,1,A2Y87M8V0N1M6P,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,4,5.87029,0,1,1,3,1,A2Y87M8V0N1M6P,6,rensink_Beach-a_w_outline.jpg,rensink_Beach-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,3,6.636415,0,2,2,22,1,A2Y87M8V0N1M6P,37,rensink_Nurses-a_w_outline.jpg,rensink_Nurses-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,10.52355,0,3,3,4,1,A2Y87M8V0N1M6P,8,rensink_Boat-a_w_outline.jpg,rensink_Boat-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,3,4.0907,0,4,4,20,1,A2Y87M8V0N1M6P,35,rensink_Mosque-a_w_outline.jpg,rensink_Mosque-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,3,4.15869,0,5,5,28,1,A2Y87M8V0N1M6P,47,rensink_Window-a_w_outline.jpg,rensink_Window-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,1,5.937325,0,6,6,9,1,A2Y87M8V0N1M6P,13,rensink_Castle-a_w_outline.jpg,rensink_Castle-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,4.81936,0,7,7,2,1,A2Y87M8V0N1M6P,4,rensink_BarnTrack-a_w_outline.jpg,rensink_BarnTrack-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,4,2.93636,0,8,8,6,1,A2Y87M8V0N1M6P,10,rensink_Cactus-a_w_outline.jpg,rensink_Cactus-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,3,4.674735,0,9,9,11,1,A2Y87M8V0N1M6P,15,rensink_Cockpit-a_w_outline.jpg,rensink_Cockpit-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,3.636935,0,10,10,17,1,A2Y87M8V0N1M6P,27,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,3.96989,0,11,11,19,1,A2Y87M8V0N1M6P,31,rensink_Kids-a_w_outline.jpg,rensink_Kids-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,7.415025,0,12,12,13,1,A2Y87M8V0N1M6P,20,rensink_Egypt-a_w_outline.jpg,rensink_Egypt-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,3,3.28519,0,13,13,15,1,A2Y87M8V0N1M6P,24,rensink_Floatplane-a_w_outline.jpg,rensink_Floatplane-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,1,7.86779,0,14,14,21,1,A2Y87M8V0N1M6P,36,rensink_NotreDame-a_w_outline.jpg,rensink_NotreDame-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,4.48496,0,15,15,1,1,A2Y87M8V0N1M6P,2,rensink_Army-a_w_outline.jpg,rensink_Army-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,3,3.801265,0,16,16,18,1,A2Y87M8V0N1M6P,28,rensink_Ice-a_w_outline.jpg,rensink_Ice-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,3.151455,0,17,17,14,1,A2Y87M8V0N1M6P,22,rensink_Farmer-a_w_outline.jpg,rensink_Farmer-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,3.25212,0,18,18,23,1,A2Y87M8V0N1M6P,41,rensink_Seal-a_w_outline.jpg,rensink_Seal-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,3.45179,0,19,19,16,1,A2Y87M8V0N1M6P,25,rensink_Fountain-a_w_outline.jpg,rensink_Fountain-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,3.08482,0,20,20,25,1,A2Y87M8V0N1M6P,43,rensink_Station-a_w_outline.jpg,rensink_Station-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,2,3.65128,0,21,21,7,1,A2Y87M8V0N1M6P,11,rensink_Camel-a_w_outline.jpg,rensink_Camel-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
,,,,,,,,4,3.668355,0,22,22,27,1,A2Y87M8V0N1M6P,45,rensink_Turtle-a_w_outline.jpg,rensink_Turtle-b_w_outline.jpg,29,f,A2Y87M8V0N1M6P,2020-12-08_14h22.22.968,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,R2D53,R2D53,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,35DR22AR5EN72GSBGNGDEG9ZPUS3XY,262733,262733,,,,
