consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,1.95312,space,0.1751,4,4.68327,4,0.335645,5,0.39291,0,0,0,4,1,A33JUNE5HHLET4,7,rensink_Birds-a_w_outline.jpg,rensink_Birds-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,4,0.565935,0,1,1,14,1,A33JUNE5HHLET4,27,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,4,0.069915,0,2,2,12,1,A33JUNE5HHLET4,19,rensink_Eating-a_w_outline.jpg,rensink_Eating-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,3,0.13754,0,3,3,19,1,A33JUNE5HHLET4,34,rensink_Marling-a_w_outline.jpg,rensink_Marling-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,3,0.363105,0,4,4,26,1,A33JUNE5HHLET4,45,rensink_Turtle-a_w_outline.jpg,rensink_Turtle-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,3,0.210035,0,5,5,15,1,A33JUNE5HHLET4,28,rensink_Ice-a_w_outline.jpg,rensink_Ice-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,4,0.42713,0,6,6,0,1,A33JUNE5HHLET4,1,rensink_Amish-a_w_outline.jpg,rensink_Amish-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,3,0.014825,0,7,7,1,1,A33JUNE5HHLET4,2,rensink_Army-a_w_outline.jpg,rensink_Army-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,5,1.29456,0,8,8,25,1,A33JUNE5HHLET4,44,rensink_SummerLake-a_w_outline.jpg,rensink_SummerLake-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
,,,,,,,,4,1.829755,0,9,9,27,1,A33JUNE5HHLET4,46,rensink_Water-a_w_outline.jpg,rensink_Water-b_w_outline.jpg,28,m,A33JUNE5HHLET4,2020-12-07_17h22.57.903,MetaAwareness,2020.1.2,Win32,60,3JGHED38EEUBHKLEXT03MSX095NY7O,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,UL1B8,UL1B8,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,3B1NLC6UG0Z3NJ28PBDG3XC5RW3PGB,262458,262458,,,,
