consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,22.663,space,70.125,5,8.489,5,1.792,4,4.215,0,0,0,23,1,A34YRW76R9JICL,39,rensink_OtherDiver-a_w_outline.jpg,rensink_OtherDiver-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,1,5.29,0,1,1,15,1,A34YRW76R9JICL,28,rensink_Ice-a_w_outline.jpg,rensink_Ice-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,3,5.385,0,2,2,27,1,A34YRW76R9JICL,45,rensink_Turtle-a_w_outline.jpg,rensink_Turtle-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,1,6.637,0,3,3,0,1,A34YRW76R9JICL,2,rensink_Army-a_w_outline.jpg,rensink_Army-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,1,7.398,0,4,4,19,1,A34YRW76R9JICL,35,rensink_Mosque-a_w_outline.jpg,rensink_Mosque-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,3,6.089,0,5,5,13,1,A34YRW76R9JICL,26,rensink_Harbor-a_w_outline.jpg,rensink_Harbor-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,2,6.018,0,6,6,7,1,A34YRW76R9JICL,16,rensink_Description-a_w_outline.jpg,rensink_Description-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,3,5.31,0,7,7,25,1,A34YRW76R9JICL,43,rensink_Station-a_w_outline.jpg,rensink_Station-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,3,8.137,0,8,8,10,1,A34YRW76R9JICL,21,rensink_FarmByPond-a_w_outline.jpg,rensink_FarmByPond-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
,,,,,,,,3,6.265,0,9,9,14,1,A34YRW76R9JICL,27,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg,41,female,A34YRW76R9JICL,2020-12-08_12h20.58.379,MetaAwareness,2020.1.2,Win32,60,3SU800BH87V46T6OJRCKJY8II8TUQB,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,FKFC3,FKFC3,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,3CFVK00FWMOBZ5Y4L6BNAPQWSCK6LL,262733,262733,,,,
