consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt
space,4.64415,space,0.52661,3,7.037395,4,4.188665,4,4.35142,0,0,0,21,1,A1QUBLZCONL4QD,22,rensink_Ice-a_w_outline.jpg,rensink_Ice-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,4,4.31466,0,1,1,11,1,A1QUBLZCONL4QD,12,rensink_Bus-a_w_outline.jpg,rensink_Bus-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,4,5.51625,0,2,2,8,1,A1QUBLZCONL4QD,9,rensink_Chopper-a_w_outline.jpg,rensink_Chopper-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,5,3.56114,0,3,3,3,1,A1QUBLZCONL4QD,4,rensink_Water-a_w_outline.jpg,rensink_Water-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,5,3.156185,0,4,4,13,1,A1QUBLZCONL4QD,14,rensink_Fountain-a_w_outline.jpg,rensink_Fountain-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,5,3.50791,0,5,5,19,1,A1QUBLZCONL4QD,20,rensink_Kayak-a_w_outline.jpg,rensink_Kayak-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,5,0.324175,0,6,6,27,1,A1QUBLZCONL4QD,28,rensink_Lake-a_w_outline.jpg,rensink_Lake-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,5,2.364215,0,7,7,22,1,A1QUBLZCONL4QD,23,rensink_Barns-a_w_outline.jpg,rensink_Barns-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,5,4.020865,0,8,8,20,1,A1QUBLZCONL4QD,21,rensink_Barrels-a_w_outline.jpg,rensink_Barrels-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
,,,,,,,,5,2.86338,0,9,9,7,1,A1QUBLZCONL4QD,8,rensink_BarnTrack-a_w_outline.jpg,rensink_BarnTrack-b_w_outline.jpg,42,male,A1QUBLZCONL4QD,2020-10-09_15h55.53.947,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,A6ID1,A6ID1,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,3DIP6YHAPDVKXD70XZLHH8W2G41E8X,250371,250371,,
