consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt
space,23.771,space,19.727,5,3.028,5,2.19,5,4.412,0,0,0,29,1,AKG7VBOY97HKA,30,rensink_SummerLake-a_w_outline.jpg,rensink_SummerLake-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,1,3.634,0,1,1,26,1,AKG7VBOY97HKA,27,rensink_Egypt-a_w_outline.jpg,rensink_Egypt-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,5,4.118,0,2,2,27,1,AKG7VBOY97HKA,28,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,1,4.352,0,3,3,5,1,AKG7VBOY97HKA,6,rensink_Eating-a_w_outline.jpg,rensink_Eating-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,5,4.572,0,4,4,25,1,AKG7VBOY97HKA,26,rensink_Boat-a_w_outline.jpg,rensink_Boat-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,5,3.368,0,5,5,1,1,AKG7VBOY97HKA,2,rensink_CanalBridge-a_w_outline.jpg,rensink_CanalBridge-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,5,6.833,0,6,6,16,1,AKG7VBOY97HKA,17,rensink_Barns-a_w_outline.jpg,rensink_Barns-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,2,4.556,0,7,7,13,1,AKG7VBOY97HKA,14,rensink_NotreDame-a_w_outline.jpg,rensink_NotreDame-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,1,4.59,0,8,8,2,1,AKG7VBOY97HKA,3,rensink_Birds-a_w_outline.jpg,rensink_Birds-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,5,3.912,0,9,9,22,1,AKG7VBOY97HKA,23,rensink_Obelisk-a_w_outline.jpg,rensink_Obelisk-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,1,4.985,0,10,10,21,1,AKG7VBOY97HKA,22,rensink_Nurses-a_w_outline.jpg,rensink_Nurses-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,5,4.204,0,11,11,24,1,AKG7VBOY97HKA,25,rensink_Mosque-a_w_outline.jpg,rensink_Mosque-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,5,5.629,0,12,12,23,1,AKG7VBOY97HKA,24,rensink_Dinner-a_w_outline.jpg,rensink_Dinner-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,5,3.413,0,13,13,8,1,AKG7VBOY97HKA,9,rensink_Lake-a_w_outline.jpg,rensink_Lake-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,2,4.189,0,14,14,15,1,AKG7VBOY97HKA,16,rensink_Station-a_w_outline.jpg,rensink_Station-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,1,4.224,0,15,15,18,1,AKG7VBOY97HKA,19,rensink_Bus-a_w_outline.jpg,rensink_Bus-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
,,,,,,,,1,5.257,0,16,16,0,1,AKG7VBOY97HKA,1,rensink_Wine-a_w_outline.jpg,rensink_Wine-b_w_outline.jpg,73,f,AKG7VBOY97HKA,2020-10-09_16h13.39.901,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ3RCNN2,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,YNXM1,YNXM1,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,3MX2NQ3YCAXAGVFFU646TD7IUL2X5G,250371,250371,,
