consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,2.748,space,1.211,6,9.418,0,0,0,200,1,an ancient building with a rectangular structure on the top,an ancient building with rectangular structure on the top,rensink,Mosque,5,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,6,2.015,0,1,1,264,1,kayaker on a hawaiian beach pushing the kayak out into the water,kayaker on a hawaiian beach pulling the kayak to shore,rensink,Water,6,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,6,1.413,0,2,2,254,1,people are relaxing on the lake. there are three boats,people are relaxing on the lake. there are two boats,rensink,SummerLake,6,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,6,1.271,0,3,3,43,1,"four men on top of a bus, attempting to unload cargo.",three men on top of a bus unloading cargo.,rensink,Bus,1,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,6,1.331,0,4,4,190,1,a man at a market wearing blue jean pants.,a man at a market wearing tan jean pants.,rensink,Market,5,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,6,1.369,0,5,5,1,1,an amish farmer on a hay wagon wearing a white shirt,an amish farmer on a hay wagon wearing a pink shirt,rensink,Amish,2,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,1,1.928,0,6,6,123,1,a lot of junk being placed by machinery and a man wearing a green plaid shirt,a lot of junk being placed with machinery and a man wearing a bright green plaid shirt,rensink,Farmer,3,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,6,1.013,0,7,7,204,1,tree was small amout of in,tree branches lot of amout,rensink,NotreDame,1,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,1,0.398,0,8,8,266,1,the window is have somethink,the window do not have somethink,rensink,Window,2,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
,,,,3,0.556,0,9,9,12,1,a red barn sits in a cluster of buildings in a field,a green barn sits in a cluster of buildings in a field,rensink,Barns,4,47,A28LMUIZO84GAX,2021-01-07_15h00.02.426,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A28LMUIZO84GAX,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,3YOH7BII0AALUPVN1E7U7HTGOGWKV3,267888,267888,,,,,,,,,,
