consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,4.599015,space,15.79674,4,27.52009,0,0,0,245,1,a train station with additional structures on the far end,just a train station with people on it,rensink,Station,3,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,4,0.654955,0,1,1,277,1,"a table with a wine glass and cheese, fruit and bread",a table with a wine glass with only fruit and bread,rensink,Wine,6,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,3,13.99969,0,2,2,147,1,a very chaotic looking sailing event with low waves at the background,a very chaotic looking sailing event with high waves at the background,rensink,Horizon,4,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,4,17.013835,0,3,3,191,1,three people in a boat with a swordfish and yellow bag,three people in a boat with a swordfish without a yellow bag,rensink,Marling,1,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,2,11.272115,0,4,4,157,1,the surfing man jocket is pink colour,the surfing man jocket is blue color,rensink,Kayak,2,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,2,10.913025,0,5,5,119,1,reflection of  the house in the water near to land,reflection of the house in the water so far to land,rensink,FarmByPond,4,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,2,22.16126,0,6,6,124,1,there is a man on a construction truck and he is wearing a dark green plaid shirt.,there is a man on a construction truck and he is wearing a bright green plaid shirt.,rensink,Farmer,4,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,5,20.939735,0,7,7,234,1,there is a woman posing next to a seal and there is a rock over the water.,there is a woman posing next to a seal and there is a rock over the water with several smaller rocks next to it.,rensink,Seal,4,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,5,28.02455,0,8,8,259,1,three people launch a boat away from an island that has houses with thatched roofs and palm trees,"three people launch a boat away from an island with thatched-roof homes and palm trees, slightly futher away than in the other yellow box",rensink,Water,1,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
,,,,4,20.647135,0,9,9,129,1,a man fishing in a lake in the mountains while standing near some sticks,a man fishing in a lake in the mountains while standing near a bush,rensink,Fishing,4,46,A3L4HC42Y5R4ZO,2021-01-07_16h50.31.020,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYT2PCET,A3L4HC42Y5R4ZO,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,UGMH8,UGMH8,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,3HMIGG0U4M9I3IORX0XBOBOJBXIY8L,267888,267888,,,,,,,,,,
