consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,18.378715,space,4.564435,5,16.687435,0,0,0,11,1,a red barn set on a green field with beautiful trees behind it.,a green barn set on a green field with beautiful trees behind it.,rensink,Barns,2,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,5,9.419435,0,1,1,187,1,man in jeans with cigarette behind ear looking at a table of farmer's market produce,man in khakis with cigarette behind ear looking at a table of farmer's market produce,rensink,Market,2,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,3,8.186815,0,2,2,243,1,at end the bridge  was  conected,no bridge was connected at end,rensink,Station,1,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,5,8.034425,0,3,3,167,1,a person is kayaking along a cliff face,"a person is kayaking along a cliff face, nearing the end",rensink,Kayaker,4,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,5,11.361165,0,4,4,36,1,there are two birds together on a rock and there are several other birds in a small background behind them.,there are two birds together on a rock and there are several other birds in a large background behind them.,rensink,Birds,5,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,5,8.994855,0,5,5,185,1,a man with a boat on the shore next to a body of water,a boat on the shore next to a body of water,rensink,Lake,8,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,4,12.83447,0,6,6,213,1,a woman in a blue shirt with a purse and a piece of fruit is standing next to another person holding a bag of fruit on the sidewalk with cars in the background,a woman in blue shirt with a purse and piece of fruit is standing next to another person on a street with cars and buildings in the background,rensink,Nurses,5,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,5,5.688135,0,7,7,196,1,a middle eastern city scene with three turrets,a middle eastern city scene with two turrets,rensink,Mosque,1,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,3,5.629195,0,8,8,251,1,there is have a boat,there is not have  a boat,rensink,SummerLake,3,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
,,,,5,6.362955,0,9,9,255,1,a lake with people and two covered boats,a lake with people and one covered and one uncovered boat,rensink,SummerLake,7,30,A3N40Z29QX64UJ,2021-01-07_17h55.20.105,MetaAwareness,2020.1.2,Win32,60,3GVPRXWRPIXPRK69TBE0043CKK27I1,A3N40Z29QX64UJ,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,Z5LG8,Z5LG8,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,3GLB5JMZFYYUYMZIK2ML33VGHSBGDX,267888,267888,,,,,,,,,,
