consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,4.951695,space,0.819295,3,1.343105,0,0,0,80,1,egyptian statue in front of temple entrance,egyptian statue to the side of temple entrance,rensink,Egypt,9,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,1,0.1773,0,1,1,123,1,a man looking into the lake with binoculars on a foggy day.,a foggy day on the lake with no one in sight.,rensink,Lake,3,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,2,0.01564,0,2,2,134,1,a middle eastern city scene with three turrets,a middle eastern city scene with two turrets,rensink,Mosque,1,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,4,0.024165,0,3,3,79,1,people are standing outside of an old egyptian temple with a sculpture in front,people are observing an ancient egyptian pyramid with a sculpture statue outside,rensink,Egypt,7,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,3,0.217825,0,4,4,4,1,a soldier manning a gun on a tank looking at a street shaded by trees,a soldier manning a gun on a tank looking at a sunny spot on the street,rensink,Army,4,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,4,0.073445,0,5,5,156,1,3 pilots standing in front of a helicopter with a gray building in the background,3 pilots standing in front of a helicopter with a yellow building in the background,rensink,Pilots,5,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,2,0.000805,0,6,6,84,1,a red farmhouse is reflected in the water of a small lake,"a red farmhouse is in view, and a different, squatter farmhouse, is across the lake, reflected in the water",rensink,FarmByPond,5,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,3,0.2254,0,7,7,104,1,the boat thread is many,the boat is minimum thread,rensink,Horizon,3,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,4,0.15274,0,8,8,114,1,a woman kayaking with mountains and hills in the background.,a woman kayaking with only a mountain in the background.,rensink,Kayaker,6,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
,,,,2,0.073505,0,9,9,147,1,side of an egyptian temple with statues and a cluster of trees inthe background,side of an egyptian temple with statues and low-lying buildings in the background,rensink,Obelisk,4,33,AD1ILDUXZHASF,2021-01-08_17h29.19.157,MetaAwareness,2020.1.2,Linux x86_64,60,3TD33TP5DM5XNEQ1U4Y3O81PQ3RBAS,AD1ILDUXZHASF,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,B5LD5,B5LD5,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,3DL65MZB8EIM9GXDEB1MJUSMJG9ECB,268035,268035,,,,,,,,,,
