start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
8:8:34:709,8:8:46:842,8:9:1:710,8:9:1:714,space,18.288365,8:9:20:8,8:9:20:15,space,16.752255,8:9:36:770,8:9:37:785,,space,17.909425,8:9:55:717,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.036666667,-0.348888889,0,0,0,8:9:56:732,,space,13.11642,8:10:9:863,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.131111111,-0.273333333,0,0,0,8:10:10:878,,space,8.38337,8:10:19:278,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.131111111,-0.273333333,0,0,0,8:10:20:299,return,8.765165,8:10:29:76,8:10:30:110,,return,103.94922,8:12:14:73,"a group of young boys, maybe teens and one young brown boy is wearing a striped t-shirt with blue, white and gray stripes","a group of young, teen boys, 5 sitting together and one of them is wearing a striped t-shirt with purple, whie and gray colors",0.208888889,-0.082222222,0,0,0,0,0,0,6,1,A3MD34XEB4H6JF,64,wolfe_image-089-a_w_outline.jpg,wolfe_image-089-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:12:15:88,,return,103.157175,8:13:58:253,"a street long shot with cables running above and the tops of some older roofs, one red and one white appear to the right","a long shot of a street scene with cables running overhead and the tops of some buildings, one white and one purpleblue",0.293333333,-0.222222222,0,0,0,0,1,1,8,1,A3MD34XEB4H6JF,85,wolfe_image-110-a_w_outline.jpg,wolfe_image-110-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:13:59:268,,return,106.932125,8:15:46:214,this is an outdoor market with people walking about on a nice day and there are umbreallas coverins stalls and a coniferous tree in the background,"a nice day with an outdoor market and covered stalls with blue sky and part of a couple umbrellas, one green and one orange in front of the sky",0.258888889,-0.363333333,0,0,0,0,2,2,2,1,A3MD34XEB4H6JF,25,wolfe_image-025-a_w_outline.jpg,wolfe_image-025-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:15:47:230,,return,102.78549,8:17:30:28,"a mossy, marsh like scene with mountains and blue sky in the background as well as a red, farmlike facility, with one of the marsh rocks in the foreground","a marshlike, rocky setting with water and moutains and a red, farmlike facility in the background and a swatch of lake and plant growth in the foreground",0.24,-0.322222222,0,0,0,0,3,3,3,1,A3MD34XEB4H6JF,41,wolfe_image-041-a_w_outline.jpg,wolfe_image-041-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:17:31:43,,return,90.435055,8:19:1:493,"a group of hikers or tourists gathered around a sign on an outdoor trail, one of them with a red and black backpack on his back","a group of hikers or tourists gathered around a sign on a trail outside looking at the sign, one of them sporting a blue and black backpack",0.15,-0.234444444,0,0,0,0,4,4,7,1,A3MD34XEB4H6JF,84,wolfe_image-109-a_w_outline.jpg,wolfe_image-109-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:19:2:509,,return,96.55472,8:20:39:75,"a farm with pigs and chickens in the foreground and people looking towards the horizon in the background, while there is one gray black chicken in the center","a groups of chickens and pigs gathered together in the foreground, with some people looking towards the horizon in the background and a swatch of dry grass in the middle of them",0.344444444,-0.108888889,0,0,0,0,5,5,1,1,A3MD34XEB4H6JF,9,wolfe_image-009-a_w_outline.jpg,wolfe_image-009-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:20:40:89,,return,89.3141,8:22:9:413,"a petting zoo with a couple of reindeer next to a woman in the foreground and a man bending over, facing the viewer in the background",a petting zoo with a woman in a pink dress smiling at two reindeer in the foreground and a gravelly area of ground in the background near a group of other people,0.238888889,-0.238888889,0,0,0,0,6,6,0,1,A3MD34XEB4H6JF,8,wolfe_image-008-a_w_outline.jpg,wolfe_image-008-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:22:10:422,,return,91.62059,8:23:42:55,a tropical beach scene with a blue sky background and hamock on a white beach with a palm frond in the upper left corner of some palm trees scattered around,some palm frond pieces on one of several palm trees on a white beach with a hammock hanging above the sand,0.172222222,-0.197777778,0,0,0,0,7,7,5,1,A3MD34XEB4H6JF,49,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:23:43:70,,return,103.78723,8:25:26:869,"an oudoor scene of people walking among wood structures, both children and adults with a covered hill in the background and one adult standing, wearing a red backpack",a group of children and adults walking around some wooded structures in from of a low hill with one of the adults wearing a red backpack standing in  jeans to the right,0.174444444,-0.185555556,0,0,0,0,8,8,9,1,A3MD34XEB4H6JF,93,wolfe_image-118-a_w_outline.jpg,wolfe_image-118-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:25:27:883,,return,92.15316,8:27:0:51,a beautiful red sunset sith tiny houses dotting the light green covering of grass and snow tipped mountains in the back and one tiny house on the left,"a sunset with soft green grass covering in the foreground, snow tipped mountains and a lake in the foreground and a spot of green grass on the left of some of the houses",0.27,-0.176666667,0,0,0,0,9,9,4,1,A3MD34XEB4H6JF,44,wolfe_image-044-a_w_outline.jpg,wolfe_image-044-b_w_outline.jpg,53,A3MD34XEB4H6JF,2020-12-21_08h08.46.483,MetaAwareness,2020.1.2,Win32,60,3I01FDIL6NB1X8THVLWUDG6RHIE2DM,379J5II41PJFCKRJROULMDI9BUYELA,45973,45973,379J5II41PJFCKRJROULMDI9BUYELA,379J5II41PJFCKRJROULMDI9BUYELA,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
