start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
11:29:57:767,11:30:16:440,11:30:31:57,11:30:31:62,space,7.231135,11:30:38:489,11:30:38:500,space,12.54965,11:30:51:71,11:30:52:87,,space,18.256485,11:31:10:472,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.431150675,0.12390999,0,0,0,11:31:11:485,,space,18.737265,11:31:30:269,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.431150675,0.12390999,0,0,0,11:31:31:282,,space,7.570885,11:31:38:908,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.431150675,0.12390999,0,0,0,11:31:39:928,return,7.92211,11:31:47:867,11:31:48:898,,return,190.520905,11:34:59:470,a patio at the back of a house with a walkway of 6 stone slabs leading to a sitting area,a patio at the back of a house with a walkway of 5 stone slabs leading to a sitting area,0.217814445,-0.453391234,0,0,0,0,0,0,1,1,A3RD4M6HFHIO7Z,34,wolfe_image-034-a_w_outline.jpg,wolfe_image-034-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:35:0:478,,return,175.513905,11:37:56:60,a bunch of people enjoying a day at the park where someone has dropped something,a bunch of people enjoying a day at the park with the pavement clear of debris,0.049344699,-0.337265094,0,0,0,0,1,1,0,1,A3RD4M6HFHIO7Z,16,wolfe_image-016-a_w_outline.jpg,wolfe_image-016-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37:57:71,,return,57.303565,11:38:54:434,a group of people walking down the street with a gentleman wearing a blue striped shirt. ,a group of people walking down the street with a gentleman wearing a green striped shirt,-0.032031536,-0.187269211,0,0,0,0,2,2,5,1,A3RD4M6HFHIO7Z,53,wolfe_image-078-a_w_outline.jpg,wolfe_image-078-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:38:55:448,,return,129.787555,11:41:5:274,a large area of hilly farmland in front of a mountain range with 7 small bushes in the closest field.,a large area of hilly farmland in front of a mountain range with 6 small bushes in the closest field. ,0.178667307,-0.47362407,0,0,0,0,3,3,3,1,A3RD4M6HFHIO7Z,45,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:41:6:286,,return,258.576285,11:45:24:897,a group of men playing golf with a view of a grayish buliding roof visible in the break of the tree line.,a group of men playing golf with a view of a reddish building roof visible in the break of the tree line.,0.216717084,-0.43975536,0,0,0,0,4,4,8,1,A3RD4M6HFHIO7Z,83,wolfe_image-108-a_w_outline.jpg,wolfe_image-108-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:45:25:915,,return,73.5893,11:46:39:548,a group of people cleaning off a car with the lady on the right using a blue shovel.,a group of people cleaning off a car with the lady on the right using a green shovel.,-0.092512051,-0.384331624,0,0,0,0,5,5,11,1,A3RD4M6HFHIO7Z,102,wolfe_image-127-a_w_outline.jpg,wolfe_image-127-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:46:40:559,,return,126.457415,11:48:47:54,a group of practicing singers practicing with a blue bin next to the pianist.,a group of singers practicing with a green bin next to the pianist. ,-0.018174171,-0.419080973,0,0,0,0,6,6,6,1,A3RD4M6HFHIO7Z,71,wolfe_image-096-a_w_outline.jpg,wolfe_image-096-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48:48:68,,return,102.789205,11:50:30:902,a group of men posing for a picture with the gentleman all the way on the right wearing a bright red tie. ,a group of men posing for a picture with the gentleman all the way on the right wearing a dull red tie. ,0.538262685,-0.39972655,0,0,0,0,7,7,7,1,A3RD4M6HFHIO7Z,77,wolfe_image-102-a_w_outline.jpg,wolfe_image-102-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:50:31:916,,return,175.85507,11:53:27:812,a group of sail boats sailing on the ocean behind some jetski's and a smaller boat.,a group of sail boats sailing on the ocean behind some jetski's.,0.232112487,-0.361018737,0,0,0,0,8,8,2,1,A3RD4M6HFHIO7Z,35,wolfe_image-035-a_w_outline.jpg,wolfe_image-035-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:53:28:827,,return,136.801605,11:55:45:681,two people walking their dog in a park next to the marina with a dull green colored post.,two people walking their dog in a park next to the marina with a brown colored post.,0.045607408,-0.390050173,0,0,0,0,9,9,10,1,A3RD4M6HFHIO7Z,99,wolfe_image-124-a_w_outline.jpg,wolfe_image-124-b_w_outline.jpg,32,A3RD4M6HFHIO7Z,2020-12-21_11h30.15.147,MetaAwareness,2020.1.2,Linux x86_64,60,3QGTX7BCHQ5WZ6H05MNP2FS6PAHZ5L,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,4OY83,4OY83,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,38YMOXR4MV2RAZA3PKIPJ07CS3NW69,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
