start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
20:45:45:734,20:45:58:788,20:46:13:642,20:46:13:647,space,30.55493,20:46:44:312,20:46:44:316,space,4.952535,20:46:49:297,20:46:50:310,,space,19.18787,20:47:9:550,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.155363312,-0.290672302,0,0,0,20:47:10:564,,space,5.164195,20:47:15:771,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.056449738,-0.293795624,0,0,0,20:47:16:787,,space,4.1891,20:47:21:22,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.079634399,-0.289741364,0,0,0,20:47:22:27,return,8.078685,20:47:30:125,20:47:31:158,,return,44.934935,20:48:16:136,people walking downtown with one person looking at a turquios shop with red shades ,people walking downtown with one person looking at a turquois shop with yellow shades,0.233556671,-0.312458344,0,0,0,0,0,0,9,1,A10Q4U3BRHXXPP,88,wolfe_image-113-a_w_outline.jpg,wolfe_image-113-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:48:17:147,,return,40.47546,20:48:57:672,people walking towards an ancient building with one man wearing green shorts,people walking towards an ancient building with one man wearing brown shorts,0.136082993,-0.35720726,0,0,0,0,1,1,7,1,A10Q4U3BRHXXPP,73,wolfe_image-098-a_w_outline.jpg,wolfe_image-098-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:48:58:678,,return,45.67558,20:49:44:406,six men playing instruments outside of a store that has a sign on the building next to them,six men playing instruments outside of a store that has a plain building next to it,0.200520935,-0.267843323,0,0,0,0,2,2,2,1,A10Q4U3BRHXXPP,13,wolfe_image-013-a_w_outline.jpg,wolfe_image-013-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:49:45:426,,return,31.2472,20:50:16:715,two airplanes at an airport with a yellow jet bus between them,two airplanes at an airport with a red jet bus between them,0.19436142,-0.316666183,0,0,0,0,3,3,8,1,A10Q4U3BRHXXPP,86,wolfe_image-111-a_w_outline.jpg,wolfe_image-111-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:50:17:722,,return,36.871085,20:50:54:632,three men pose for a picture with a blue wooden structure behind them,three men pose for a picture with a yellow wooden structure behind them,0.346213226,-0.264195404,0,0,0,0,4,4,10,1,A10Q4U3BRHXXPP,89,wolfe_image-114-a_w_outline.jpg,wolfe_image-114-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:50:55:644,,return,62.8896,20:51:58:576,a street in milwaukee close to se water with a solar panel nearby,a street in milwaukee close to se water,-0.299550552,-0.260570374,0,0,0,0,5,5,0,1,A10Q4U3BRHXXPP,7,wolfe_image-007-a_w_outline.jpg,wolfe_image-007-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:51:59:597,,return,49.12812,20:52:48:748,people hang out at a park along the water with a yellow flag nearby,people hang out at a park along the water with a red flag nearby,-0.25470726,-0.250630188,0,0,0,0,6,6,11,1,A10Q4U3BRHXXPP,94,wolfe_image-119-a_w_outline.jpg,wolfe_image-119-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:52:49:767,,return,31.90724,20:53:21:714,an adult and a child are walking into a clinic that has shrubs on both sides of the entrance,an adult and child are walking into a clinic that has a shrub on one side of the entrance,0.26667038,-0.327914124,0,0,0,0,7,7,4,1,A10Q4U3BRHXXPP,23,wolfe_image-023-a_w_outline.jpg,wolfe_image-023-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:53:22:728,,return,18.737625,20:53:41:511,a modern living room featuring a white vase on a table,a modern living room ,0.196868134,-0.319266357,0,0,0,0,8,8,6,1,A10Q4U3BRHXXPP,43,wolfe_image-043-a_w_outline.jpg,wolfe_image-043-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:53:42:523,,return,74.489765,20:54:57:59,people are watching animals at the farm where some of the chickens are on both sides of the fence,people are watching animals at a farm with the chickens all on the same sid of the fence as the people are on,0.435853119,-0.281922302,0,0,0,0,9,9,1,1,A10Q4U3BRHXXPP,9,wolfe_image-009-a_w_outline.jpg,wolfe_image-009-b_w_outline.jpg,25,A10Q4U3BRHXXPP,2020-12-29_20h45.58.455,MetaAwareness,2020.1.2,MacIntel,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3FTF2T8WLSLESIC1NRL13AYEJV99WU,W2TF1,W2TF1,3FTF2T8WLSLESIC1NRL13AYEJV99WU,3FTF2T8WLSLESIC1NRL13AYEJV99WU,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
