start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
21:57:7:525,21:57:23:60,21:57:37:928,21:57:37:941,space,30.521,21:58:8:478,21:58:8:497,space,46.847,21:58:55:363,21:58:56:393,,space,60.738,21:59:57:177,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.411458333,0.08984375,0,0,0,21:59:58:204,,space,21.346,22:0:19:580,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.545572917,-0.114583333,0,0,0,22:0:20:610,,space,9.825,22:0:30:456,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.545572917,-0.114583333,0,0,0,22:0:31:493,return,17.983,22:0:49:487,22:0:50:546,,return,568.384,22:10:18:957,jar is there on the picture.,jar is missing on the above picture.,0.572916667,-0.411458333,0,0,0,0,0,0,1,1,A1BQ7TAPC1235O,11,wolfe_image-011-a_w_outline.jpg,wolfe_image-011-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:10:19:985,,return,508.518,22:18:48:521,trash is there on the picture.,trash is not there above the picture.,0.178385417,-0.263020833,0,0,0,0,1,1,5,1,A1BQ7TAPC1235O,47,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:18:49:548,,return,217.259,22:22:26:830,the person in the water is wearing a blue colour jacket.,the person in the water is wearing a green colour jacket.,0.498697917,-0.217447917,0,0,0,0,2,2,11,1,A1BQ7TAPC1235O,103,wolfe_image-128-a_w_outline.jpg,wolfe_image-128-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:22:27:860,,return,299.257,22:27:27:145,there is a many bundle of grasses in the picture.,in the picture one bundle of grasses is missing.,0.23828125,-0.35546875,0,0,0,0,3,3,4,1,A1BQ7TAPC1235O,45,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:27:28:172,,return,49.63,22:28:17:830,yellow plate there on the snow.,there is yellow plate is missing,0.111979167,-0.276041667,0,0,0,0,4,4,0,1,A1BQ7TAPC1235O,10,wolfe_image-010-a_w_outline.jpg,wolfe_image-010-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:28:18:832,,return,66.324,22:29:25:173,he hold a purple colour umbrella.,he hold a blue colour umbrella.,0.200520833,-0.276041667,0,0,0,0,5,5,9,1,A1BQ7TAPC1235O,97,wolfe_image-122-a_w_outline.jpg,wolfe_image-122-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:29:26:204,,return,40.287,22:30:6:523,she is wearing a peach colour shirt.,she is wearing a green colour shirt.,0.192708333,-0.27734375,0,0,0,0,6,6,8,1,A1BQ7TAPC1235O,65,wolfe_image-090-a_w_outline.jpg,wolfe_image-090-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:30:7:549,,return,54.452,22:31:2:20,green colour window is shown on th picture.,orange colour window is shown on the picture.,0.115885417,-0.276041667,0,0,0,0,7,7,10,1,A1BQ7TAPC1235O,98,wolfe_image-123-a_w_outline.jpg,wolfe_image-123-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:31:3:24,,return,46.885,22:31:49:926,drain is shown on th picture.,the drain is missing.,0.157552083,-0.268229167,0,0,0,0,8,8,6,1,A1BQ7TAPC1235O,48,wolfe_image-048-a_w_outline.jpg,wolfe_image-048-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:31:50:955,,return,45.296,22:32:36:268,he has a blue colour towel.,he has a green colour towel.,0.223958333,-0.270833333,0,0,0,0,9,9,7,1,A1BQ7TAPC1235O,52,wolfe_image-077-a_w_outline.jpg,wolfe_image-077-b_w_outline.jpg,41,A1BQ7TAPC1235O,2020-12-29_21h57.22.696,MetaAwareness,2020.1.2,Win32,60,3NKW03WTLNAHYXVTERRL1MTF4A3WQK,3DBQWDE4Y715411BS0HXVBGL4NM5N8,4WBD1,4WBD1,3DBQWDE4Y715411BS0HXVBGL4NM5N8,3DBQWDE4Y715411BS0HXVBGL4NM5N8,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
