start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
11:8:25:489,11:8:32:847,11:8:47:780,11:8:47:785,space,6.785,11:8:54:651,11:8:54:662,space,8.865,11:9:3:576,11:9:4:615,,space,15.037,11:9:19:711,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.647777778,-0.108888889,0,0,0,11:9:20:715,,space,8.81,11:9:29:588,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.647777778,-0.108888889,0,0,0,11:9:30:597,,space,8.344,11:9:38:976,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.647777778,-0.108888889,0,0,0,11:9:39:988,return,5.742,11:9:45:740,11:9:46:774,,return,106.42,11:11:33:235,a crowd is in front of an ornate church with statues at the top of each arch on its facade,a crowd is in front of an ornate church with statues at the top of each arch on its facade except for the leftmost arch,0.182222222,-0.264444444,0,0,0,0,0,0,4,1,A25S8BTK83Z7VE,42,wolfe_image-042-a_w_outline.jpg,wolfe_image-042-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11:34:283,,return,118.701,11:13:33:9,"several parents, including a man with a red backpack are watching children at a playground","several parents, including a man with an orange backpack, are watching children at a playground",0.314444444,-0.26,0,0,0,0,1,1,10,1,A25S8BTK83Z7VE,93,wolfe_image-118-a_w_outline.jpg,wolfe_image-118-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:13:34:43,,return,71.072,11:14:45:166,a woman in pink is walking down a busy commercial street in front of a large crowd,a woman in green is walking down a busy commercial street in front of  large crowd,0.228888889,-0.273333333,0,0,0,0,2,2,7,1,A25S8BTK83Z7VE,65,wolfe_image-090-a_w_outline.jpg,wolfe_image-090-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:14:46:182,,return,83.91,11:16:10:118,children are playing in a grassy field while a kid in a red shirt sits behind them,children are playing in a grassy fiel while a kid in purple sits behind them,0.161111111,-0.256666667,0,0,0,0,3,3,6,1,A25S8BTK83Z7VE,61,wolfe_image-086-a_w_outline.jpg,wolfe_image-086-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:16:11:133,,return,82.922,11:17:34:82,men in pink robes are performing a ritual while a group including a man in an orange jacket watch,men in pink robes are performing a ritaul while a group including a man in a green jacket watch,0.296666667,-0.312222222,0,0,0,0,4,4,9,1,A25S8BTK83Z7VE,74,wolfe_image-099-a_w_outline.jpg,wolfe_image-099-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:17:35:107,,return,99.695,11:19:14:842,people are sitting in a field for an outdoor concert with one empty blanket that no one is using,people are sitting in a field for an outdoor concert with a large patch of empty grass to the left side of the stage,0.113333333,-0.2,0,0,0,0,5,5,1,1,A25S8BTK83Z7VE,14,wolfe_image-014-a_w_outline.jpg,wolfe_image-014-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19:15:856,,return,56.098,11:20:11:996,three women are firing arrows from four firing positions,three women are firing arrows from three firing positions,0.146666667,-0.265555556,0,0,0,0,6,6,2,1,A25S8BTK83Z7VE,21,wolfe_image-021-a_w_outline.jpg,wolfe_image-021-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20:13:4,,return,65.33,11:21:18:375,a man is leading a music class with a blue cooler bag underneath the table behind him,a man is leading a music class with a green cooler bag underneath the table behind him,0.147777778,-0.25,0,0,0,0,7,7,8,1,A25S8BTK83Z7VE,71,wolfe_image-096-a_w_outline.jpg,wolfe_image-096-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:21:19:398,,return,81.604,11:22:41:26,a soccer player with a blue left cleat chases another player for the ball,a soccer player with a green left cleat chases another player for the ball,0.468888889,-0.292222222,0,0,0,0,8,8,5,1,A25S8BTK83Z7VE,57,wolfe_image-082-a_w_outline.jpg,wolfe_image-082-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:22:42:34,,return,84.536,11:24:6:592,people are at an outdoor event standing around a set of concrete barriers with lights in them,"people are at an outdoor event standing around a set of concrete barriers with lights in them, except for the center barrier",0.185555556,-0.267777778,0,0,0,0,9,9,3,1,A25S8BTK83Z7VE,27,wolfe_image-027-a_w_outline.jpg,wolfe_image-027-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24:7:621,,return,67.218,11:25:14:880,picnic tables are set up on the beach with three blue and three yellow beach umbrellas,picnic tables are set up on the beach with two blue and four yellow beach umbrellas,-0.277777778,-0.325555556,0,0,0,0,10,10,11,1,A25S8BTK83Z7VE,112,wolfe_image-137-a_w_outline.jpg,wolfe_image-137-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:25:15:889,,return,59.303,11:26:15:215,a group of farm animals is eating in front of a fence with a chicken just on the other side,a group of farm animals is eating in front of a fence,0.228888889,-0.301111111,0,0,0,0,11,11,0,1,A25S8BTK83Z7VE,9,wolfe_image-009-a_w_outline.jpg,wolfe_image-009-b_w_outline.jpg,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A25S8BTK83Z7VE,,,,32,A25S8BTK83Z7VE,2020-12-30_11h08.32.598,MetaAwareness,2020.1.2,Linux x86_64,60,36JW4WBR07N2AIAV5CUROKFEIKTHFN,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,Q2WR1,Q2WR1,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,3RWE2M8QWID69UFAVUBLEGKUNHMN0K,266551,266551,11:26:16:232,,return,33.283,11:26:49:553,a cow is grazing on a green field,an empty green field,0.247777778,-0.308888889,0,0,0,11:26:50:568,,return,50.702,11:27:41:301,a plane is flying across the sky into the sunset,the sky as the sun is setting behind some low clouds,0.202222222,-0.297777778,0,0,0
