start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
15:38:34:452,15:38:45:327,15:39:0:274,15:39:0:278,space,11.377315,15:39:11:726,15:39:11:739,space,16.69564,15:39:28:456,15:39:29:469,,space,66.43505,15:40:35:944,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.192222222,-0.186666667,0,0,0,15:40:36:958,,space,22.664645,15:40:59:664,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.192222222,-0.186666667,0,0,0,15:41:0:680,,space,12.39694,15:41:13:100,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.192222222,-0.186666667,0,0,0,15:41:14:120,return,7.467035,15:41:21:606,15:41:22:621,,return,58.455855,15:42:21:104,children and adults walking in a field with a red cooler,children and adults walking in a field with a pirple cooler,0.251111111,-0.253333333,0,0,0,0,0,0,7,1,A2IDZ3JF5XPPLS,63,wolfe_image-088-a_w_outline.jpg,wolfe_image-088-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:42:22:119,,return,70.659165,15:43:32:805,students using computers with a red object in the background,students using computers with a yellow object in the nbackground,0.186666667,-0.243333333,0,0,0,0,1,1,6,1,A2IDZ3JF5XPPLS,58,wolfe_image-083-a_w_outline.jpg,wolfe_image-083-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:43:33:820,,return,67.599795,15:44:41:459, people walking on a boardwalk with a woman wearing a red shirt,people walking on a boardwalk with a woman wearing a blue shirt,0.155555556,-0.255555556,0,0,0,0,2,2,11,1,A2IDZ3JF5XPPLS,109,wolfe_image-134-a_w_outline.jpg,wolfe_image-134-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:44:42:475,,return,42.85823,15:45:25:362,a storefront with a blue placard and cars out front,a storefront with a red placard and vars out front,0.176666667,-0.236666667,0,0,0,0,3,3,10,1,A2IDZ3JF5XPPLS,98,wolfe_image-123-a_w_outline.jpg,wolfe_image-123-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:45:26:374,,return,49.034035,15:46:15:438,students walking with backpacks,students walking with backpacks and a blue decoration on the backpack,0.132222222,-0.252222222,0,0,0,0,4,4,8,1,A2IDZ3JF5XPPLS,69,wolfe_image-094-a_w_outline.jpg,wolfe_image-094-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:46:16:450,,return,54.15034,15:47:10:625,people in front of a temple with several spires,people in front of a temple with a missing spire,0.195555556,-0.285555556,0,0,0,0,5,5,3,1,A2IDZ3JF5XPPLS,42,wolfe_image-042-a_w_outline.jpg,wolfe_image-042-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:47:11:635,,return,45.08183,15:47:56:738,a kitchen and living area with a microwave,a kitchen and living area,0.205555556,-0.273333333,0,0,0,0,6,6,0,1,A2IDZ3JF5XPPLS,6,wolfe_image-006-a_w_outline.jpg,wolfe_image-006-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:47:57:749,,return,50.2159,15:48:47:996,sseveral people outdoors with backpacks,several people outdoors and a bman with a blue backpack,0.165555556,-0.285555556,0,0,0,0,7,7,9,1,A2IDZ3JF5XPPLS,84,wolfe_image-109-a_w_outline.jpg,wolfe_image-109-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:48:49:7,,return,35.267675,15:49:24:303,a factory near a lake with rocks,a factory near a lake with no rocks in it,0.101111111,-0.237777778,0,0,0,0,8,8,2,1,A2IDZ3JF5XPPLS,41,wolfe_image-041-a_w_outline.jpg,wolfe_image-041-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:49:25:315,,return,102.674935,15:51:8:17,a backyard with six paver stones,a backyard with five paver stones,0.585555556,-0.274444444,0,0,0,0,9,9,1,1,A2IDZ3JF5XPPLS,34,wolfe_image-034-a_w_outline.jpg,wolfe_image-034-b_w_outline.jpg,48,A2IDZ3JF5XPPLS,2020-12-30_15h38.45.201,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,ZA3I1,ZA3I1,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,3I3WADAZ9R7NMM1NTFHAA0GQU0Y5O0,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
