start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
12:56:49:492,12:57:6:716,12:57:21:639,12:57:21:646,space,10.453,12:57:32:110,12:57:32:121,space,7.443,12:57:39:577,12:57:40:608,,space,18.805,12:57:59:451,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.01,-0.3,0,0,0,12:58:0:456,,space,13.355,12:58:13:831,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.028888889,-0.28,0,0,0,12:58:14:858,,space,10.323,12:58:25:201,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.372222222,-0.272222222,0,0,0,12:58:26:238,return,12.617,12:58:38:860,12:58:39:889,,return,68.858,12:59:48:766,there is locker,there is no locker,0.394444444,-0.397777778,0,0,0,0,0,0,1,1,A8HVMFMFFY2PE,6,wolfe_image-006-a_w_outline.jpg,wolfe_image-006-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:59:49:795,,return,52.292,13:0:42:108,there is blue striped tshirt,there is green striped tshirt,0.705555556,-0.274444444,0,0,0,0,1,1,5,1,A8HVMFMFFY2PE,53,wolfe_image-078-a_w_outline.jpg,wolfe_image-078-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:0:43:108,,return,28.231,13:1:11:359,there is a maroon tshirt,there is ablue tshirt,0.124444444,-0.277777778,0,0,0,0,2,2,9,1,A8HVMFMFFY2PE,87,wolfe_image-112-a_w_outline.jpg,wolfe_image-112-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:1:12:389,,return,64.707,13:2:17:108,there is orange jerkin,there is green jerkin,0.55,-0.281111111,0,0,0,0,3,3,6,1,A8HVMFMFFY2PE,74,wolfe_image-099-a_w_outline.jpg,wolfe_image-099-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:2:18:139,,return,53.862,13:3:12:15,at the upper row there is yellow pillow,at the upper row there is green pillow,0.533333333,-0.273333333,0,0,0,0,4,4,7,1,A8HVMFMFFY2PE,81,wolfe_image-106-a_w_outline.jpg,wolfe_image-106-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:3:13:16,,return,34.922,13:3:47:950,there is a bottle,there is no bottle,0.471111111,-0.327777778,0,0,0,0,5,5,3,1,A8HVMFMFFY2PE,48,wolfe_image-048-a_w_outline.jpg,wolfe_image-048-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:3:48:982,,return,27.2,13:4:16:201,there is chimney,there is missing of chimney,0.563333333,-0.31,0,0,0,0,6,6,2,1,A8HVMFMFFY2PE,29,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:4:17:232,,return,43.426,13:5:0:669,there is green roof,there is white roof,0.325555556,-0.236666667,0,0,0,0,7,7,8,1,A8HVMFMFFY2PE,83,wolfe_image-108-a_w_outline.jpg,wolfe_image-108-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:5:1:699,,return,31.676,13:5:33:390,there is blue tshirt,there is green tshirt,0.157777778,-0.286666667,0,0,0,0,8,8,11,1,A8HVMFMFFY2PE,101,wolfe_image-126-a_w_outline.jpg,wolfe_image-126-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:5:34:420,,return,34.955,13:6:9:389,there is a steel chain,there is missing of steel chain,0.243333333,-0.287777778,0,0,0,0,9,9,0,1,A8HVMFMFFY2PE,4,wolfe_image-004-a_w_outline.jpg,wolfe_image-004-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:6:10:419,,return,20.673,13:6:31:108,there is same image,there is same image,0.366666667,-0.293333333,0,0,0,0,10,10,10,1,A8HVMFMFFY2PE,98,wolfe_image-123-a_w_outline.jpg,wolfe_image-123-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:6:32:138,,return,56.671,13:7:28:826,there is coconut tree leave,there is missing of coconut tree leave,0.12,-0.304444444,0,0,0,0,11,11,4,1,A8HVMFMFFY2PE,49,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8HVMFMFFY2PE,,,,52,A8HVMFMFFY2PE,2020-12-30_12h57.06.416,MetaAwareness,2020.1.2,Win32,60,3A3KKYU7P4KQDIX1MYK4KD9AUAOMW7,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,AA9A1,AA9A1,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,3A9AA95ATXP57MDO8FUPZ0LG45U5PH,266551,266551,13:7:29:857,,return,43.853,13:8:13:732,there is a cow in the field,no cow in the image,-0.12,-0.284444444,0,0,0,13:8:14:750,,return,35.717,13:8:50:483,airplane in the image,there is no airplane in the image,0.477777778,-0.236666667,0,0,0
