start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
15:39:16:274,15:39:28:757,15:39:43:707,15:39:43:712,space,8.981,15:39:52:783,15:39:52:789,space,10.908,15:40:3:724,15:40:4:731,,space,13.822,15:40:18:623,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.324074074,-0.114583333,0,0,0,15:40:19:631,,space,9.107,15:40:28:783,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.324074074,-0.114583333,0,0,0,15:40:29:789,,space,7.101,15:40:36:940,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.324074074,-0.114583333,0,0,0,15:40:37:950,return,7.175,15:40:45:140,15:40:46:156,,return,54.624,15:41:40:831,"a runner is being interviewed on a track, there is a building with red shutters in the background","a runner is being interviewed on a track, there is a building with blue shutters in the background",0.298611111,-0.263888889,0,0,0,0,0,0,8,1,A15WRJKRWC80DA,91,wolfe_image-116-a_w_outline.jpg,wolfe_image-116-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:41:41:839,,return,29.948,15:42:11:830,"a person is sitting on a dock, next to a chain, fishing.",a person is sitting on a dock fishing,0.210648148,-0.274305556,0,0,0,0,1,1,0,1,A15WRJKRWC80DA,4,wolfe_image-004-a_w_outline.jpg,wolfe_image-004-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:42:12:837,,return,159.389,15:44:52:260,a group of men are on a golf course golfing next a small box,a group of men are golfing on the fairway of a golf course,0.173611111,-0.298611111,0,0,0,0,2,2,2,1,A15WRJKRWC80DA,17,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:44:53:268,,return,55.043,15:45:48:342,a relaxing looking outside seating area next to a blue house. there is a red surfboard leaned up against the house.,a relaing looking outside seating area next to a blue house. there is a green surfboard leaned up against the house.,0.210648148,-0.290509259,0,0,0,0,3,3,9,1,A15WRJKRWC80DA,108,wolfe_image-133-a_w_outline.jpg,wolfe_image-133-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:45:49:350,,return,53.649,15:46:43:33,a city street that has a variety of shops on it. there is a building with a red roof and writing in the background.,a city street that has a variety of shops on it. there is a building with a blue roof and writing in the background.,0.200231481,-0.328703704,0,0,0,0,4,4,7,1,A15WRJKRWC80DA,85,wolfe_image-110-a_w_outline.jpg,wolfe_image-110-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:46:44:41,,return,22.61,15:47:6:690,a roof deck overlooks the ocean and a teal house,a roof deck overlooks the ocean and a pink house,0.429398148,-0.327546296,0,0,0,0,5,5,11,1,A15WRJKRWC80DA,111,wolfe_image-136-a_w_outline.jpg,wolfe_image-136-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:47:7:697,,return,40.305,15:47:48:49,five graduates jumping and celebrating in front of a bench,five graduates jumping and celebrating in front of some grass,0.171296296,-0.315972222,0,0,0,0,6,6,1,1,A15WRJKRWC80DA,5,wolfe_image-005-a_w_outline.jpg,wolfe_image-005-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:47:49:55,,return,23.624,15:48:12:723,"tourists riding camels, one wearing a green hat","tourists riding camels, one wearing a purple hat",0.131944444,-0.333333333,0,0,0,0,7,7,10,1,A15WRJKRWC80DA,110,wolfe_image-135-a_w_outline.jpg,wolfe_image-135-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:48:13:729,,return,56.731,15:49:10:496,"a group of kids playing on a swingset, there is a girl in a pink shirt in the lower right","a group of kids playing on a swingset, there is a girl in an orange shirt in the lower right",0.186342593,-0.303240741,0,0,0,0,8,8,4,1,A15WRJKRWC80DA,76,wolfe_image-101-a_w_outline.jpg,wolfe_image-101-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:49:11:503,,return,31.958,15:49:43:496,"people camping next to canoes on the beach, there are beach chairs set up",people camping on the beach with their canoes right next to the water,0.271990741,-0.268518519,0,0,0,0,9,9,3,1,A15WRJKRWC80DA,18,wolfe_image-018-a_w_outline.jpg,wolfe_image-018-b_w_outline.jpg,35,A15WRJKRWC80DA,2020-12-31_15h39.28.612,MetaAwareness,2020.1.2,Win32,60,379OL9DBSTHFV397CQYN0OO65J89YL,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,ZI3I3,ZI3I3,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,3I33IC7ZWG56LLOZ1DAUBYT9LCB2AB,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
