start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
9:48:52:434,9:49:9:672,9:49:24:615,9:49:24:622,space,11.77137,9:49:36:541,9:49:36:560,space,15.309525,9:49:51:913,9:49:52:930,,space,39.33921,9:50:32:382,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.23875,-0.246875,0,0,0,9:50:33:398,,space,16.37376,9:50:49:809,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.23875,-0.246875,0,0,0,9:50:50:824,,space,6.89917,9:50:57:800,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.23875,-0.246875,0,0,0,9:50:58:820,return,6.530575,9:51:5:381,9:51:6:414,,return,93.89277,9:52:40:334,the wide open ocean with five sail boats and five small speed boats ahead of them.,the wide open ocean with five sail boats and four small speed boats ahead of them,0.208125,-0.308125,0,0,0,0,0,0,7,1,A1EH9BPKYXFBS5,35,wolfe_image-035-a_w_outline.jpg,wolfe_image-035-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:52:41:343,,return,81.13903,9:54:2:517,a meeting in a small room and people are crowded around a conference table the man to the far left has a blue shirt,a meeting in a small room and people are crowded around a conference table the man to the far left has a green shirt,0.17,-0.265625,0,0,0,0,1,1,10,1,A1EH9BPKYXFBS5,79,wolfe_image-104-a_w_outline.jpg,wolfe_image-104-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:54:3:530,,return,56.787645,9:55:0:344, a hiker on a dusty mountain trail passes red wildflowers on his left,a hiker on a dusty mauntain trail passes yellow wildflowers on his left.,0.041875,-0.251875,0,0,0,0,2,2,9,1,A1EH9BPKYXFBS5,70,wolfe_image-095-a_w_outline.jpg,wolfe_image-095-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:55:1:360,,return,73.81995,9:56:15:228,there is a crowded city park with a playground and many children.  there is a dark object on the ground.,there is a crowded city park with a playground and many children.  the sidewalk is clear of objects.,0.223125,-0.24625,0,0,0,0,3,3,0,1,A1EH9BPKYXFBS5,16,wolfe_image-016-a_w_outline.jpg,wolfe_image-016-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:56:16:244,,return,75.648295,9:57:31:954,four men are playing golf outside on a course and thre is a dark object on the ground behind one man.,four men are playing golf outside on the a course and there are no dark objects on the ground.,0.20625,-0.23375,0,0,0,0,4,4,1,1,A1EH9BPKYXFBS5,17,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:57:32:965,,return,87.60524,9:59:0:639,there is a somewhat empty sidewalk along a street with shops and a sandwhich board in front of the jewelry shop,there is a somewhat empty sidewalk along a street with shops and no sandwhich boards on the sidewalk,0.23,-0.32625,0,0,0,0,5,5,5,1,A1EH9BPKYXFBS5,30,wolfe_image-030-a_w_outline.jpg,wolfe_image-030-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:59:1:654,,return,102.11523,10:0:43:821,six students are in class and there is a red decoration over the right sholder of the second student. ,six students are in class and there is a yellow decoration over the right sholder of the second student,0.149375,-0.245625,0,0,0,0,6,6,8,1,A1EH9BPKYXFBS5,58,wolfe_image-083-a_w_outline.jpg,wolfe_image-083-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0:44:839,,return,46.726055,10:1:31:628,a street market has a lot of people and two towering trees in the background.,a street market has a lot of people and one towering tree in the background,0.23625,-0.293125,0,0,0,0,7,7,2,1,A1EH9BPKYXFBS5,25,wolfe_image-025-a_w_outline.jpg,wolfe_image-025-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:1:32:645,,return,71.207655,10:2:43:912,a parade of people are on the stree and the girl has a badge on her right chest,a parade of people are on the street and the girl has no badge on her right chest,0.143125,-0.2975,0,0,0,0,8,8,6,1,A1EH9BPKYXFBS5,31,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:2:44:929,,return,69.55393,10:3:54:545,students sit on the grass while having class outside.  there is a white object on the grass in the foreground,students sit on the grass while having class outside.  there are no objects on the grass in the foreground,0.265625,-0.26625,0,0,0,0,9,9,4,1,A1EH9BPKYXFBS5,28,wolfe_image-028-a_w_outline.jpg,wolfe_image-028-b_w_outline.jpg,53,A1EH9BPKYXFBS5,2020-12-31_09h49.09.482,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4K11RY,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,MSRJ3,MSRJ3,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,3JRJSWSMQIOYWG1ULIQLQROSC4G3EN,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
