start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
18:44:47:925,18:44:56:90,18:45:11:83,18:45:11:87,space,12.393,18:45:23:528,18:45:23:536,space,13.003,18:45:36:551,18:45:37:562,,space,16.485,18:45:54:82,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.05,-0.307638889,0,0,0,18:45:55:94,,space,9.078,18:46:4:189,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.045138889,-0.38125,0,0,0,18:46:5:218,,space,4.539,18:46:9:773,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.041666667,-0.372222222,0,0,0,18:46:10:776,return,7.641,18:46:18:438,18:46:19:465,,return,249.932,18:50:29:418,"a beach alongside a blue ocean where, in the sand, a hammock hands off of two palm trees, with the sn shine obscured by the leaves","a beach alongside a blue ocean where, in the sand, a hammock hangs off of two palm trees, and the sun shining brightly",-0.192592593,-0.201481481,0,0,0,0,0,0,5,1,A33DJF06UZXG3Y,49,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:50:30:430,,return,83.177,18:51:53:628,a walk in the park on a gated path along the water with green posts sticking out of the water,a walk in the park on a gated path along the water with green and brown posts sticking out of the water,0.135555556,-0.186666667,0,0,0,0,1,1,9,1,A33DJF06UZXG3Y,99,wolfe_image-124-a_w_outline.jpg,wolfe_image-124-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:51:54:640,,return,128.927,18:54:3:587,a 'jump for joy' graduation celebration of five graduates in front of a bench on the path,a 'jump for joy' graduation celebration of five graduates on an otherwise empty path,0.436296296,-0.268148148,0,0,0,0,2,2,0,1,A33DJF06UZXG3Y,5,wolfe_image-005-a_w_outline.jpg,wolfe_image-005-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:54:4:611,,return,103.419,18:55:48:46,"a luxurious and modern hotel room that features many appliances, such as a microwave, tv, refridgerator, and more","a luxurios and mdern hotel room that featuresa few appliances, such as a refridgerator, tv, and more",0.203703704,-0.197777778,0,0,0,0,3,3,1,1,A33DJF06UZXG3Y,6,wolfe_image-006-a_w_outline.jpg,wolfe_image-006-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:55:49:59,,return,101.383,18:57:30:460,a jeans-wearing photographer looks at her photos as she stands outside an interestingly designed building,a gray pants-wearing photographer looks at her photos as she stands outside an interestingly designed building,0.177777778,-0.216296296,0,0,0,0,4,4,11,1,A33DJF06UZXG3Y,104,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:57:31:464,,return,75.29,18:58:46:769,a man in blue sits opposite a man in turquoise as they attentively listen to a group meeting,a man in green sits opposite a man in turquoise as they attentively listen to a group meeting,0.292592593,-0.184444444,0,0,0,0,5,5,6,1,A33DJF06UZXG3Y,79,wolfe_image-104-a_w_outline.jpg,wolfe_image-104-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:58:47:772,,return,58.069,18:59:45:866,a woman with badges across her chest walks alongside her fellow ranger across the street,a woman with a badge on the left side of her chest walks alongside her fellow rangers across the street,0.168148148,-0.154074074,0,0,0,0,6,6,3,1,A33DJF06UZXG3Y,31,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:59:46:879,,return,48.986,19:0:35:878,a white object sticks out of the ground as locals are gathered to aid in digging a hole in the ground,locals gather to aid in digging a hole in the ground,0.234814815,-0.19037037,0,0,0,0,7,7,4,1,A33DJF06UZXG3Y,46,wolfe_image-046-a_w_outline.jpg,wolfe_image-046-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:0:36:881,,return,92.713,19:2:9:608,a long boat with red fabrics along its side sits in a beautiful lake setting ready to be utilized,a long boat with red and green fabrics along its side sits in a beautiful lake setting ready to be utilized,-0.101481481,-0.198518519,0,0,0,0,8,8,8,1,A33DJF06UZXG3Y,96,wolfe_image-121-a_w_outline.jpg,wolfe_image-121-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:2:10:609,,return,92.274,19:3:42:898,a short coffee table bearing two small cactuses and other objects sits near a chair in a room,a short coffee table bearing a cactus and other objects sits hear a chair in a room,0.157777778,-0.148888889,0,0,0,0,9,9,2,1,A33DJF06UZXG3Y,11,wolfe_image-011-a_w_outline.jpg,wolfe_image-011-b_w_outline.jpg,27,A33DJF06UZXG3Y,2020-12-31_18h44.55.973,MetaAwareness,2020.1.2,Linux x86_64,60,3BKZLF99002LN2QTTS99MJEVFJGQYS,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,UGIX3,UGIX3,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,3XIQGXAUMDBP3ZTYIZJ3RXLFXDU7XO,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
