consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Example_1_resp.keys,Example_1_response.keys,Example_1_response.rt,Example_1_a_text,Example_1_b_text,Example_1_mouse.x,Example_1_mouse.y,Example_1_mouse.leftButton,Example_1_mouse.midButton,Example_1_mouse.rightButton,Example_2_resp.keys,Example_2_response.keys,Example_2_response.rt,Example_2_a_text,Example_2_b_text,Example_2_mouse.x,Example_2_mouse.y,Example_2_mouse.leftButton,Example_2_mouse.midButton,Example_2_mouse.rightButton,Example_3_resp.keys,Example_3_response.keys,Example_3_response.rt,Example_3_a_text,Example_3_b_text,Example_3_mouse.x,Example_3_mouse.y,Example_3_mouse.leftButton,Example_3_mouse.midButton,Example_3_mouse.rightButton,Start_resp_2.keys,Start_resp_2.rt,Airplane_resp.keys,Airplane_response.keys,Airplane_response.rt,Airplane_a_text,Airplane_b_text,Airplane_mouse.x,Airplane_mouse.y,Airplane_mouse.leftButton,Airplane_mouse.midButton,Airplane_mouse.rightButton,Boat_resp.keys,Boat_response.keys,Boat_response.rt,Boat_a_text,Boat_b_text,Boat_mouse.x,Boat_mouse.y,Boat_mouse.leftButton,Boat_mouse.midButton,Boat_mouse.rightButton,user_resp.keys,trial_response.keys,trial_response.rt,image_1_text,image_2_text,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_response.keys,Cow_response.rt,Cow_a_text,Cow_b_text,Cow_mouse.x,Cow_mouse.y,Cow_mouse.leftButton,Cow_mouse.midButton,Cow_mouse.rightButton,Garden_resp.keys,Garden_response.keys,Garden_response.rt,Garden_a_text,Garden_b_text,Garden_mouse.x,Garden_mouse.y,Garden_mouse.leftButton,Garden_mouse.midButton,Garden_mouse.rightButton
space,329.95388,space,242.991135,,space,15.70642,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.130555556,-0.358333333,0,0,0,,space,15.72117,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.130555556,-0.355555556,0,0,0,,space,8.549735,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.130555556,-0.355555556,0,0,0,return,3.834915,,return,36.635015,a plane flying in a sky ,a sky with clouds,0.064814815,-0.373148148,0,0,0,,return,34.222065,a ocean with a cruise ship,a ocean with a blue and cloudful sky,0.187037037,-0.246296296,0,0,0,,return,71.725835,a group of children and a woman holding a red cooler,a group of children and a woman holding a pink cooler,0.355555556,-0.276851852,0,0,0,0,0,0,6,1,A3NMQ3019X6YE0,63,wolfe_image-088-a_w_outline.jpg,wolfe_image-088-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,39.22016,people standing on a street and a woman wearing blue jeans,people standing on a street and woman wearing gray pants,0.089814815,-0.217592593,0,0,0,0,1,1,8,1,A3NMQ3019X6YE0,104,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,37.267725,bikes parked in front of a large mansion with three chimneys,bikes parked in front of a large mansion with two chimneys,0.110185185,-0.233333333,0,0,0,0,2,2,2,1,A3NMQ3019X6YE0,29,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,72.652035,people sitting on the grass in front of stage with a blanket on the grass,people sitting on the grass in front of the stage with green grass,0.25462963,-0.42037037,0,0,0,0,3,3,1,1,A3NMQ3019X6YE0,14,wolfe_image-014-a_w_outline.jpg,wolfe_image-014-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,45.87562,a sandy beach in front of an ocean with a low hanging palm in front of the sun,a sandy beach in front of the ocean with the sun,0.362962963,-0.221296296,0,0,0,0,4,4,4,1,A3NMQ3019X6YE0,49,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,36.11339,a food stand with a man at the end in blue pants,a food stand with a man at the end in green pants,0.099074074,-0.191666667,0,0,0,0,5,5,7,1,A3NMQ3019X6YE0,72,wolfe_image-097-a_w_outline.jpg,wolfe_image-097-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,39.1939,a building with a room and hammock and gravel with a firepit,a building with a room and hammock and gravel,0.075,-0.215740741,0,0,0,0,6,6,0,1,A3NMQ3019X6YE0,12,wolfe_image-012-a_w_outline.jpg,wolfe_image-012-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,53.45482,a beach area with a table with a blue umbrella,a beach area with a table with a yellow umbrella,0.382407407,-0.22962963,0,0,0,0,7,7,9,1,A3NMQ3019X6YE0,112,wolfe_image-137-a_w_outline.jpg,wolfe_image-137-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,64.040775,a house with two cars and brown paint,a house with two cars with brown paint,-0.15,-0.272222222,0,0,0,0,8,8,3,1,A3NMQ3019X6YE0,38,wolfe_image-038-a_w_outline.jpg,wolfe_image-038-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,28.66752,a crowded outdoor food court with a green umbrella,a crowded outdoor food court with a red umbrella,0.053703704,-0.240740741,0,0,0,0,9,9,5,1,A3NMQ3019X6YE0,55,wolfe_image-080-a_w_outline.jpg,wolfe_image-080-b_w_outline.jpg,42,A3NMQ3019X6YE0,2020-12-10_15h49.31.865,MetaAwareness,2020.1.2,Win32,60,3KI0JD2ZU2L9Y0B8RA5B31D7AY976I,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,EGZV2,EGZV2,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,3VZLGYJEYMD8N9Z41UBMIHEE4WQZX4,263342,263342,,,,,,,,,,,,,,,,,,,,
