consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,16.51205,space,37.38057,5,4.32935,5,2.8158,3,6.420885,0,0,0,7,1,A1ING769NXJIHR,22,wolfe_image-022-a_w_outline.jpg,wolfe_image-022-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,4,5.376355,0,1,1,3,1,A1ING769NXJIHR,9,wolfe_image-009-a_w_outline.jpg,wolfe_image-009-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,2,6.78342,0,2,2,10,1,A1ING769NXJIHR,31,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,3,6.389655,0,3,3,24,1,A1ING769NXJIHR,87,wolfe_image-112-a_w_outline.jpg,wolfe_image-112-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,2,10.62701,0,4,4,26,1,A1ING769NXJIHR,97,wolfe_image-122-a_w_outline.jpg,wolfe_image-122-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,5,4.441265,0,5,5,11,1,A1ING769NXJIHR,32,wolfe_image-032-a_w_outline.jpg,wolfe_image-032-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,1,6.04084,0,6,6,22,1,A1ING769NXJIHR,83,wolfe_image-108-a_w_outline.jpg,wolfe_image-108-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,3,7.162885,0,7,7,2,1,A1ING769NXJIHR,6,wolfe_image-006-a_w_outline.jpg,wolfe_image-006-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,4,6.225415,0,8,8,14,1,A1ING769NXJIHR,41,wolfe_image-041-a_w_outline.jpg,wolfe_image-041-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
,,,,,,,,4,4.923815,0,9,9,5,1,A1ING769NXJIHR,11,wolfe_image-011-a_w_outline.jpg,wolfe_image-011-b_w_outline.jpg,44,F,A1ING769NXJIHR,2020-12-08_16h08.37.756,MetaAwareness,2020.1.2,Win32,60,3YO4AH2FPENOQ7U8LKY0URKB2JSQ07,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,S9OL7,S9OL7,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,3LO69W1SU4GDWYNAXJK9MG3LMQYLGD,262737,262737,,,,
