consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,67.322,space,10.742,4,4.134,4,2.67,3,2.775,0,0,0,11,1,A1TRR601XVC4D7,47,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,4,2.426,0,1,1,25,1,A1TRR601XVC4D7,101,wolfe_image-126-a_w_outline.jpg,wolfe_image-126-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,4,3.678,0,2,2,5,1,A1TRR601XVC4D7,14,wolfe_image-014-a_w_outline.jpg,wolfe_image-014-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,4,2.804,0,3,3,3,1,A1TRR601XVC4D7,9,wolfe_image-009-a_w_outline.jpg,wolfe_image-009-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,4,2.691,0,4,4,16,1,A1TRR601XVC4D7,66,wolfe_image-091-a_w_outline.jpg,wolfe_image-091-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,3,5.043,0,5,5,12,1,A1TRR601XVC4D7,50,wolfe_image-050-a_w_outline.jpg,wolfe_image-050-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,3,3.453,0,6,6,1,1,A1TRR601XVC4D7,4,wolfe_image-004-a_w_outline.jpg,wolfe_image-004-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,3,4.714,0,7,7,13,1,A1TRR601XVC4D7,52,wolfe_image-077-a_w_outline.jpg,wolfe_image-077-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,2,2.909,0,8,8,22,1,A1TRR601XVC4D7,90,wolfe_image-115-a_w_outline.jpg,wolfe_image-115-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,4,6.126,0,9,9,24,1,A1TRR601XVC4D7,100,wolfe_image-125-a_w_outline.jpg,wolfe_image-125-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
,,,,,,,,4,2.715,0,10,10,21,1,A1TRR601XVC4D7,88,wolfe_image-113-a_w_outline.jpg,wolfe_image-113-b_w_outline.jpg,25,m,A1TRR601XVC4D7,2020-12-08_18h34.32.167,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,XNBL7,XNBL7,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,3LBXNTKX0SYTHIHRXWHN5TCLPNYX97,262737,262737,,,,
