consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,2.3533,space,0.78482,5,1.262795,5,0.502045,4,3.10432,0,0,0,11,1,A1U3TT3VMH9FU9,45,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,5,2.916565,0,1,1,1,1,A1U3TT3VMH9FU9,6,wolfe_image-006-a_w_outline.jpg,wolfe_image-006-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,5,4.308585,0,2,2,21,1,A1U3TT3VMH9FU9,76,wolfe_image-101-a_w_outline.jpg,wolfe_image-101-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,4,2.792435,0,3,3,14,1,A1U3TT3VMH9FU9,57,wolfe_image-082-a_w_outline.jpg,wolfe_image-082-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,4,3.10969,0,4,4,26,1,A1U3TT3VMH9FU9,102,wolfe_image-127-a_w_outline.jpg,wolfe_image-127-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,5,2.956755,0,5,5,23,1,A1U3TT3VMH9FU9,89,wolfe_image-114-a_w_outline.jpg,wolfe_image-114-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,3,4.35007,0,6,6,7,1,A1U3TT3VMH9FU9,25,wolfe_image-025-a_w_outline.jpg,wolfe_image-025-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,2,3.42262,0,7,7,12,1,A1U3TT3VMH9FU9,47,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,3,3.320935,0,8,8,27,1,A1U3TT3VMH9FU9,105,wolfe_image-130-a_w_outline.jpg,wolfe_image-130-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
,,,,,,,,1,3.422685,0,9,9,19,1,A1U3TT3VMH9FU9,71,wolfe_image-096-a_w_outline.jpg,wolfe_image-096-b_w_outline.jpg,26,female,A1U3TT3VMH9FU9,2020-12-08_20h23.59.134,MetaAwareness,2020.1.2,MacIntel,60,337F8MIIM0GH127ANNRNROJ66RD042,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,PJDG7,PJDG7,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,3GDTJDAPVVEI91ZDEX90UG1CYDS8M5,262737,262737,,,,
