consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,11.018,space,35.262,4,61.647,4,361.383,4,0.032,0,0,0,11,1,A1X6ZMNR66BMMP,51,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,4,9.339,0,1,1,14,1,A1X6ZMNR66BMMP,55,wolfe_image-080-a_w_outline.jpg,wolfe_image-080-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,4,1.946,0,2,2,4,1,A1X6ZMNR66BMMP,17,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,4,1.977,0,3,3,2,1,A1X6ZMNR66BMMP,13,wolfe_image-013-a_w_outline.jpg,wolfe_image-013-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,4,1.917,0,4,4,3,1,A1X6ZMNR66BMMP,15,wolfe_image-015-a_w_outline.jpg,wolfe_image-015-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,5,1.795,0,5,5,13,1,A1X6ZMNR66BMMP,54,wolfe_image-079-a_w_outline.jpg,wolfe_image-079-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,5,2.026,0,6,6,7,1,A1X6ZMNR66BMMP,23,wolfe_image-023-a_w_outline.jpg,wolfe_image-023-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,4,1.491,0,7,7,28,1,A1X6ZMNR66BMMP,105,wolfe_image-130-a_w_outline.jpg,wolfe_image-130-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,3,2.31,0,8,8,1,1,A1X6ZMNR66BMMP,4,wolfe_image-004-a_w_outline.jpg,wolfe_image-004-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
,,,,,,,,4,2.073,0,9,9,0,1,A1X6ZMNR66BMMP,3,wolfe_image-003-a_w_outline.jpg,wolfe_image-003-b_w_outline.jpg,30,male,A1X6ZMNR66BMMP,2020-12-08_17h40.03.887,MetaAwareness,2020.1.2,Win32,60,3UDTAB6HH72IY8DM4INE8WUMSJS09Z,373ERPL3YPBS414TM3GC7BR9IDERT3,3R377,3R377,373ERPL3YPBS414TM3GC7BR9IDERT3,373ERPL3YPBS414TM3GC7BR9IDERT3,262737,262737,,,,
