consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,1.174,space,1.089,4,1.458,3,3.08,5,2.467,0,0,0,23,1,A1Y6ICOIXYR0FY,88,wolfe_image-113-a_w_outline.jpg,wolfe_image-113-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,4,2.03,0,1,1,13,1,A1Y6ICOIXYR0FY,50,wolfe_image-050-a_w_outline.jpg,wolfe_image-050-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,4,9.877,0,2,2,11,1,A1Y6ICOIXYR0FY,42,wolfe_image-042-a_w_outline.jpg,wolfe_image-042-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,5,2.411,0,3,3,16,1,A1Y6ICOIXYR0FY,67,wolfe_image-092-a_w_outline.jpg,wolfe_image-092-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,4,1.264,0,4,4,10,1,A1Y6ICOIXYR0FY,34,wolfe_image-034-a_w_outline.jpg,wolfe_image-034-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,5,1.708,0,5,5,5,1,A1Y6ICOIXYR0FY,16,wolfe_image-016-a_w_outline.jpg,wolfe_image-016-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,4,2.114,0,6,6,27,1,A1Y6ICOIXYR0FY,105,wolfe_image-130-a_w_outline.jpg,wolfe_image-130-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,4,1.861,0,7,7,8,1,A1Y6ICOIXYR0FY,21,wolfe_image-021-a_w_outline.jpg,wolfe_image-021-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,3,2.764,0,8,8,20,1,A1Y6ICOIXYR0FY,82,wolfe_image-107-a_w_outline.jpg,wolfe_image-107-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,4,2.552,0,9,9,0,1,A1Y6ICOIXYR0FY,2,wolfe_image-002-a_w_outline.jpg,wolfe_image-002-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,4,1.906,0,10,10,17,1,A1Y6ICOIXYR0FY,68,wolfe_image-093-a_w_outline.jpg,wolfe_image-093-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,5,1.888,0,11,11,2,1,A1Y6ICOIXYR0FY,6,wolfe_image-006-a_w_outline.jpg,wolfe_image-006-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
,,,,,,,,4,1.958,0,12,12,14,1,A1Y6ICOIXYR0FY,54,wolfe_image-079-a_w_outline.jpg,wolfe_image-079-b_w_outline.jpg,51,m,A1Y6ICOIXYR0FY,2020-12-08_18h02.32.234,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,358010RM5FWREPUU0XMJXB1IGFGXVM,M1857,M1857,358010RM5FWREPUU0XMJXB1IGFGXVM,358010RM5FWREPUU0XMJXB1IGFGXVM,262737,262737,,,,
