consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,72.621045,space,50.968875,5,8.254345,5,1.679095,5,4.723595,0,0,0,9,1,A277UVT82WHF65,45,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,5,3.70298,0,1,1,13,1,A277UVT82WHF65,57,wolfe_image-082-a_w_outline.jpg,wolfe_image-082-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,5,7.43706,0,2,2,1,1,A277UVT82WHF65,10,wolfe_image-010-a_w_outline.jpg,wolfe_image-010-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,3,5.190655,0,3,3,3,1,A277UVT82WHF65,20,wolfe_image-020-a_w_outline.jpg,wolfe_image-020-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,3,3.00424,0,4,4,27,1,A277UVT82WHF65,106,wolfe_image-131-a_w_outline.jpg,wolfe_image-131-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,4,5.03965,0,5,5,12,1,A277UVT82WHF65,56,wolfe_image-081-a_w_outline.jpg,wolfe_image-081-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,2,4.633355,0,6,6,21,1,A277UVT82WHF65,82,wolfe_image-107-a_w_outline.jpg,wolfe_image-107-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,3,5.353045,0,7,7,24,1,A277UVT82WHF65,94,wolfe_image-119-a_w_outline.jpg,wolfe_image-119-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,2,5.70301,0,8,8,14,1,A277UVT82WHF65,58,wolfe_image-083-a_w_outline.jpg,wolfe_image-083-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
,,,,,,,,4,3.92156,0,9,9,16,1,A277UVT82WHF65,64,wolfe_image-089-a_w_outline.jpg,wolfe_image-089-b_w_outline.jpg,39,M,A277UVT82WHF65,2020-12-08_17h48.51.596,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,Z6KL7,Z6KL7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,3LKC68YZ3B6HZ5G7PG4J00T3BJWWO7,262737,262737,,,,
