consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,4.651,space,26.362,5,3.816,5,2.44,3,4.417,0,0,0,19,1,A2H91DERNK3CAL,72,wolfe_image-097-a_w_outline.jpg,wolfe_image-097-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,4,4.957,0,1,1,6,1,A2H91DERNK3CAL,25,wolfe_image-025-a_w_outline.jpg,wolfe_image-025-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,3,5.467,0,2,2,23,1,A2H91DERNK3CAL,89,wolfe_image-114-a_w_outline.jpg,wolfe_image-114-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,2,3.833,0,3,3,9,1,A2H91DERNK3CAL,38,wolfe_image-038-a_w_outline.jpg,wolfe_image-038-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,4,4.907,0,4,4,7,1,A2H91DERNK3CAL,33,wolfe_image-033-a_w_outline.jpg,wolfe_image-033-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,3,3.612,0,5,5,22,1,A2H91DERNK3CAL,88,wolfe_image-113-a_w_outline.jpg,wolfe_image-113-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,2,4.874,0,6,6,26,1,A2H91DERNK3CAL,96,wolfe_image-121-a_w_outline.jpg,wolfe_image-121-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,2,3.743,0,7,7,21,1,A2H91DERNK3CAL,78,wolfe_image-103-a_w_outline.jpg,wolfe_image-103-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,2,4.262,0,8,8,2,1,A2H91DERNK3CAL,10,wolfe_image-010-a_w_outline.jpg,wolfe_image-010-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
,,,,,,,,3,5.148,0,9,9,17,1,A2H91DERNK3CAL,65,wolfe_image-090-a_w_outline.jpg,wolfe_image-090-b_w_outline.jpg,32,m,A2H91DERNK3CAL,2020-12-10_11h13.59.291,MetaAwareness,2020.1.2,Win32,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,3N2BF7Y2VRXB2C06H1367TUB11IMH8,2F2N0,2F2N0,3N2BF7Y2VRXB2C06H1367TUB11IMH8,3N2BF7Y2VRXB2C06H1367TUB11IMH8,263090,263090,,,,
