consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,3.30114,space,32.81596,5,2.87156,5,1.030125,1,3.3215,0,0,0,3,1,A2NUGRVI6IEGN7,17,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,3,3.29972,0,1,1,18,1,A2NUGRVI6IEGN7,69,wolfe_image-094-a_w_outline.jpg,wolfe_image-094-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,3,4.48114,0,2,2,6,1,A2NUGRVI6IEGN7,31,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,3,3.77653,0,3,3,8,1,A2NUGRVI6IEGN7,39,wolfe_image-039-a_w_outline.jpg,wolfe_image-039-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,2,3.782765,0,4,4,11,1,A2NUGRVI6IEGN7,51,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,3,2.67924,0,5,5,19,1,A2NUGRVI6IEGN7,71,wolfe_image-096-a_w_outline.jpg,wolfe_image-096-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,1,2.64572,0,6,6,26,1,A2NUGRVI6IEGN7,93,wolfe_image-118-a_w_outline.jpg,wolfe_image-118-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,2,2.26311,0,7,7,0,1,A2NUGRVI6IEGN7,2,wolfe_image-002-a_w_outline.jpg,wolfe_image-002-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,3,2.81496,0,8,8,17,1,A2NUGRVI6IEGN7,67,wolfe_image-092-a_w_outline.jpg,wolfe_image-092-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
,,,,,,,,4,2.635925,0,9,9,12,1,A2NUGRVI6IEGN7,52,wolfe_image-077-a_w_outline.jpg,wolfe_image-077-b_w_outline.jpg,21,m,A2NUGRVI6IEGN7,2020-12-10_09h44.34.010,MetaAwareness,2020.1.2,MacIntel,60,3UYRNV2KIU2L5ZMJ0WJYJCVOG8VN8M,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,QND60,QND60,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,36DSNE9QZ61VTLG8IHL4BAZV9T0JOO,263090,263090,,,,
