consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,17.10568,space,28.547305,5,4.7263,5,2.978725,2,13.12796,0,0,0,13,1,A3BUAODQX3WEZU,54,wolfe_image-079-a_w_outline.jpg,wolfe_image-079-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,1,6.13181,0,1,1,18,1,A3BUAODQX3WEZU,69,wolfe_image-094-a_w_outline.jpg,wolfe_image-094-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,4,6.76699,0,2,2,6,1,A3BUAODQX3WEZU,19,wolfe_image-019-a_w_outline.jpg,wolfe_image-019-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,4,10.383625,0,3,3,11,1,A3BUAODQX3WEZU,45,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,4,7.48352,0,4,4,15,1,A3BUAODQX3WEZU,63,wolfe_image-088-a_w_outline.jpg,wolfe_image-088-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,4,11.49167,0,5,5,2,1,A3BUAODQX3WEZU,11,wolfe_image-011-a_w_outline.jpg,wolfe_image-011-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,1,9.07,0,6,6,0,1,A3BUAODQX3WEZU,5,wolfe_image-005-a_w_outline.jpg,wolfe_image-005-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,2,7.44772,0,7,7,28,1,A3BUAODQX3WEZU,108,wolfe_image-133-a_w_outline.jpg,wolfe_image-133-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,4,6.976745,0,8,8,24,1,A3BUAODQX3WEZU,88,wolfe_image-113-a_w_outline.jpg,wolfe_image-113-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,3,6.685775,0,9,9,21,1,A3BUAODQX3WEZU,81,wolfe_image-106-a_w_outline.jpg,wolfe_image-106-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,3,12.38216,0,10,10,16,1,A3BUAODQX3WEZU,65,wolfe_image-090-a_w_outline.jpg,wolfe_image-090-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
,,,,,,,,3,9.83389,0,11,11,1,1,A3BUAODQX3WEZU,9,wolfe_image-009-a_w_outline.jpg,wolfe_image-009-b_w_outline.jpg,28,male,A3BUAODQX3WEZU,2020-12-08_18h55.32.062,MetaAwareness,2020.1.2,Win32,60,37J05LC5AYM134RP262MCXS8IDDJD6,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,EU7E7,EU7E7,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,3E7TUJ2EGDPFJCCA6WGBBM9T95N9DI,262737,262737,,,,
