consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,134.773,space,1.067,4,0.884,4,1.41,5,2.43,0,0,0,11,1,A3DI2ZUH0QZTW0,50,wolfe_image-050-a_w_outline.jpg,wolfe_image-050-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,4,1.885,0,1,1,5,1,A3DI2ZUH0QZTW0,25,wolfe_image-025-a_w_outline.jpg,wolfe_image-025-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.832,0,2,2,10,1,A3DI2ZUH0QZTW0,40,wolfe_image-040-a_w_outline.jpg,wolfe_image-040-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.67,0,3,3,18,1,A3DI2ZUH0QZTW0,79,wolfe_image-104-a_w_outline.jpg,wolfe_image-104-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.702,0,4,4,12,1,A3DI2ZUH0QZTW0,51,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.737,0,5,5,26,1,A3DI2ZUH0QZTW0,98,wolfe_image-123-a_w_outline.jpg,wolfe_image-123-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,4,1.416,0,6,6,13,1,A3DI2ZUH0QZTW0,53,wolfe_image-078-a_w_outline.jpg,wolfe_image-078-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,4,1.823,0,7,7,27,1,A3DI2ZUH0QZTW0,101,wolfe_image-126-a_w_outline.jpg,wolfe_image-126-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.755,0,8,8,14,1,A3DI2ZUH0QZTW0,55,wolfe_image-080-a_w_outline.jpg,wolfe_image-080-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,4,1.706,0,9,9,7,1,A3DI2ZUH0QZTW0,35,wolfe_image-035-a_w_outline.jpg,wolfe_image-035-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.33,0,10,10,3,1,A3DI2ZUH0QZTW0,22,wolfe_image-022-a_w_outline.jpg,wolfe_image-022-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,4,1.703,0,11,11,2,1,A3DI2ZUH0QZTW0,21,wolfe_image-021-a_w_outline.jpg,wolfe_image-021-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.664,0,12,12,4,1,A3DI2ZUH0QZTW0,24,wolfe_image-024-a_w_outline.jpg,wolfe_image-024-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.672,0,13,13,0,1,A3DI2ZUH0QZTW0,8,wolfe_image-008-a_w_outline.jpg,wolfe_image-008-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.992,0,14,14,21,1,A3DI2ZUH0QZTW0,87,wolfe_image-112-a_w_outline.jpg,wolfe_image-112-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.701,0,15,15,29,1,A3DI2ZUH0QZTW0,110,wolfe_image-135-a_w_outline.jpg,wolfe_image-135-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.739,0,16,16,22,1,A3DI2ZUH0QZTW0,88,wolfe_image-113-a_w_outline.jpg,wolfe_image-113-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.65,0,17,17,23,1,A3DI2ZUH0QZTW0,92,wolfe_image-117-a_w_outline.jpg,wolfe_image-117-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.665,0,18,18,15,1,A3DI2ZUH0QZTW0,56,wolfe_image-081-a_w_outline.jpg,wolfe_image-081-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.706,0,19,19,6,1,A3DI2ZUH0QZTW0,31,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,4,1.892,0,20,20,25,1,A3DI2ZUH0QZTW0,95,wolfe_image-120-a_w_outline.jpg,wolfe_image-120-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,4,1.809,0,21,21,9,1,A3DI2ZUH0QZTW0,39,wolfe_image-039-a_w_outline.jpg,wolfe_image-039-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.797,0,22,22,8,1,A3DI2ZUH0QZTW0,37,wolfe_image-037-a_w_outline.jpg,wolfe_image-037-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.706,0,23,23,16,1,A3DI2ZUH0QZTW0,57,wolfe_image-082-a_w_outline.jpg,wolfe_image-082-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.705,0,24,24,17,1,A3DI2ZUH0QZTW0,63,wolfe_image-088-a_w_outline.jpg,wolfe_image-088-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.818,0,25,25,24,1,A3DI2ZUH0QZTW0,93,wolfe_image-118-a_w_outline.jpg,wolfe_image-118-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.671,0,26,26,28,1,A3DI2ZUH0QZTW0,102,wolfe_image-127-a_w_outline.jpg,wolfe_image-127-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.744,0,27,27,19,1,A3DI2ZUH0QZTW0,80,wolfe_image-105-a_w_outline.jpg,wolfe_image-105-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
,,,,,,,,5,1.761,0,28,28,20,1,A3DI2ZUH0QZTW0,82,wolfe_image-107-a_w_outline.jpg,wolfe_image-107-b_w_outline.jpg,28,male,A3DI2ZUH0QZTW0,2020-12-08_18h12.34.266,MetaAwareness,2020.1.2,Win32,60,32PT7WK7DNIQIQP0ZLAZWQBJMGRD3O,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,HPL37,HPL37,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,33L7PJKHCH1MMWPXNUACGUW4SLRT8U,262737,262737,,,,
