consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,3.794605,space,1.105845,5,2.48438,5,1.078475,3,4.17676,0,0,0,1,1,A3FMBSTZ3ZGSV1,2,wolfe_image-002-a_w_outline.jpg,wolfe_image-002-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,1,4.346485,0,1,1,22,1,A3FMBSTZ3ZGSV1,90,wolfe_image-115-a_w_outline.jpg,wolfe_image-115-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,1,2.366,0,2,2,17,1,A3FMBSTZ3ZGSV1,69,wolfe_image-094-a_w_outline.jpg,wolfe_image-094-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,1,2.189165,0,3,3,12,1,A3FMBSTZ3ZGSV1,60,wolfe_image-085-a_w_outline.jpg,wolfe_image-085-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,1,2.79644,0,4,4,23,1,A3FMBSTZ3ZGSV1,91,wolfe_image-116-a_w_outline.jpg,wolfe_image-116-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,1,2.089585,0,5,5,2,1,A3FMBSTZ3ZGSV1,6,wolfe_image-006-a_w_outline.jpg,wolfe_image-006-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,3,5.412595,0,6,6,8,1,A3FMBSTZ3ZGSV1,32,wolfe_image-032-a_w_outline.jpg,wolfe_image-032-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,3,2.71027,0,7,7,14,1,A3FMBSTZ3ZGSV1,64,wolfe_image-089-a_w_outline.jpg,wolfe_image-089-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,2,2.57609,0,8,8,15,1,A3FMBSTZ3ZGSV1,66,wolfe_image-091-a_w_outline.jpg,wolfe_image-091-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
,,,,,,,,1,3.61293,0,9,9,27,1,A3FMBSTZ3ZGSV1,97,wolfe_image-122-a_w_outline.jpg,wolfe_image-122-b_w_outline.jpg,34,m,A3FMBSTZ3ZGSV1,2020-12-08_15h12.38.689,MetaAwareness,2020.1.2,Linux x86_64,60,34R3P23QHT44L4WQV14RS81EC1CWHK,379J5II41PJFCKRJROULMDI99APELV,45977,45977,379J5II41PJFCKRJROULMDI99APELV,379J5II41PJFCKRJROULMDI99APELV,262737,262737,,,,
