consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,48.488,space,41.275,5,10.678,5,3.068,1,18.865,0,0,0,21,1,A3JAM040VWXHDO,79,wolfe_image-104-a_w_outline.jpg,wolfe_image-104-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,2,4.502,0,1,1,19,1,A3JAM040VWXHDO,70,wolfe_image-095-a_w_outline.jpg,wolfe_image-095-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,3,11.95,0,2,2,28,1,A3JAM040VWXHDO,104,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,3,7.285,0,3,3,15,1,A3JAM040VWXHDO,52,wolfe_image-077-a_w_outline.jpg,wolfe_image-077-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,1,20.249,0,4,4,16,1,A3JAM040VWXHDO,54,wolfe_image-079-a_w_outline.jpg,wolfe_image-079-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,2,7.684,0,5,5,27,1,A3JAM040VWXHDO,100,wolfe_image-125-a_w_outline.jpg,wolfe_image-125-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,1,11.217,0,6,6,22,1,A3JAM040VWXHDO,81,wolfe_image-106-a_w_outline.jpg,wolfe_image-106-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,1,6.535,0,7,7,24,1,A3JAM040VWXHDO,93,wolfe_image-118-a_w_outline.jpg,wolfe_image-118-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,3,8.837,0,8,8,13,1,A3JAM040VWXHDO,50,wolfe_image-050-a_w_outline.jpg,wolfe_image-050-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
,,,,,,,,2,6.428,0,9,9,29,1,A3JAM040VWXHDO,108,wolfe_image-133-a_w_outline.jpg,wolfe_image-133-b_w_outline.jpg,51,f,A3JAM040VWXHDO,2020-12-08_17h36.48.557,MetaAwareness,2020.1.2,Win32,60,3D06DR5226MT65UYLTOC2OCJ148AMW,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3T3B7,3T3B7,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,3B3WTRP3DC5SG2EU97WUF3IPCDG92P,262737,262737,,,,
