consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,4.82398,space,101.547265,5,1.5821,5,0.818445,3,2.707385,0,0,0,9,1,AT0COJ1G23ZB0,34,wolfe_image-034-a_w_outline.jpg,wolfe_image-034-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,2,3.05365,0,1,1,20,1,AT0COJ1G23ZB0,66,wolfe_image-091-a_w_outline.jpg,wolfe_image-091-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,3,2.536825,0,2,2,1,1,AT0COJ1G23ZB0,4,wolfe_image-004-a_w_outline.jpg,wolfe_image-004-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,2,2.620255,0,3,3,22,1,AT0COJ1G23ZB0,77,wolfe_image-102-a_w_outline.jpg,wolfe_image-102-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,1,2.439205,0,4,4,28,1,AT0COJ1G23ZB0,108,wolfe_image-133-a_w_outline.jpg,wolfe_image-133-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,2,4.00296,0,5,5,15,1,AT0COJ1G23ZB0,51,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,1,2.618725,0,6,6,6,1,AT0COJ1G23ZB0,27,wolfe_image-027-a_w_outline.jpg,wolfe_image-027-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,3,2.887,0,7,7,10,1,AT0COJ1G23ZB0,44,wolfe_image-044-a_w_outline.jpg,wolfe_image-044-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,4,2.836275,0,8,8,23,1,AT0COJ1G23ZB0,92,wolfe_image-117-a_w_outline.jpg,wolfe_image-117-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
,,,,,,,,2,2.13633,0,9,9,13,1,AT0COJ1G23ZB0,48,wolfe_image-048-a_w_outline.jpg,wolfe_image-048-b_w_outline.jpg,31,f,AT0COJ1G23ZB0,2020-12-08_17h22.55.964,MetaAwareness,2020.1.2,MacIntel,60,34R3P23QHT44L4WQV14RS81EC1CWHK,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,BJ2C7,BJ2C7,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,3C2NJ6JBKBKD54IOAHFZX4D9H2Z2NJ,262737,262737,,,,
