consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,14.4547,space,17.62218,5,4.93955,5,1.836975,4,4.76097,0,0,0,23,1,AZ2P6DGG5M6SH,89,wolfe_image-114-a_w_outline.jpg,wolfe_image-114-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,1,7.315765,0,1,1,13,1,AZ2P6DGG5M6SH,54,wolfe_image-079-a_w_outline.jpg,wolfe_image-079-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,1,4.561015,0,2,2,11,1,AZ2P6DGG5M6SH,46,wolfe_image-046-a_w_outline.jpg,wolfe_image-046-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,2,3.64208,0,3,3,12,1,AZ2P6DGG5M6SH,51,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,2,4.911425,0,4,4,7,1,AZ2P6DGG5M6SH,32,wolfe_image-032-a_w_outline.jpg,wolfe_image-032-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,3,3.959585,0,5,5,15,1,AZ2P6DGG5M6SH,64,wolfe_image-089-a_w_outline.jpg,wolfe_image-089-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,3,4.477105,0,6,6,2,1,AZ2P6DGG5M6SH,15,wolfe_image-015-a_w_outline.jpg,wolfe_image-015-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,1,3.742525,0,7,7,24,1,AZ2P6DGG5M6SH,94,wolfe_image-119-a_w_outline.jpg,wolfe_image-119-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,2,3.77586,0,8,8,28,1,AZ2P6DGG5M6SH,103,wolfe_image-128-a_w_outline.jpg,wolfe_image-128-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
,,,,,,,,2,3.17472,0,9,9,17,1,AZ2P6DGG5M6SH,66,wolfe_image-091-a_w_outline.jpg,wolfe_image-091-b_w_outline.jpg,34,m,AZ2P6DGG5M6SH,2020-12-08_17h02.41.075,MetaAwareness,2020.1.2,Win32,60,337F8MIIM0GH127ANNRNROJ66RD042,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,SAMW7,SAMW7,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,3WMOAN2SRC0M2VGQYRZAZ9AKE1ZNVL,262737,262737,,,,
