consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,100.18531,space,38.481155,5,4.577795,5,3.674065,3,7.785275,0,0,0,23,1,A1BWS5AD2T4NIR,24,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,4,10.917005,0,1,1,8,1,A1BWS5AD2T4NIR,9,wolfe_image-048-a_w_outline.jpg,wolfe_image-048-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,4,9.5507,0,2,2,24,1,A1BWS5AD2T4NIR,25,wolfe_image-119-a_w_outline.jpg,wolfe_image-119-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,4,10.42113,0,3,3,19,1,A1BWS5AD2T4NIR,20,wolfe_image-042-a_w_outline.jpg,wolfe_image-042-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,4,8.82499,0,4,4,6,1,A1BWS5AD2T4NIR,7,wolfe_image-113-a_w_outline.jpg,wolfe_image-113-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,5,8.345955,0,5,5,22,1,A1BWS5AD2T4NIR,23,wolfe_image-033-a_w_outline.jpg,wolfe_image-033-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,4,12.348055,0,6,6,15,1,A1BWS5AD2T4NIR,16,wolfe_image-106-a_w_outline.jpg,wolfe_image-106-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,4,13.21336,0,7,7,20,1,A1BWS5AD2T4NIR,21,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,5,5.07124,0,8,8,4,1,A1BWS5AD2T4NIR,5,wolfe_image-019-a_w_outline.jpg,wolfe_image-019-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
,,,,,,,,3,7.44587,0,9,9,2,1,A1BWS5AD2T4NIR,3,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg,35,m,A1BWS5AD2T4NIR,2020-10-28_09h39.17.379,MetaAwareness,2020.1.2,Linux x86_64,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,378XPAWRUDGAW621QGVMYE0P2D8IA2,RP874,RP874,378XPAWRUDGAW621QGVMYE0P2D8IA2,378XPAWRUDGAW621QGVMYE0P2D8IA2,250984,250984,,,,
