consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,8.677,space,27.723,5,7.524,5,2.077,4,10.401,0,0,0,20,1,A1CINWYLYY8SGL,21,wolfe_image-127-a_w_outline.jpg,wolfe_image-127-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,2,15.29,0,1,1,23,1,A1CINWYLYY8SGL,24,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,3,13.82,0,2,2,24,1,A1CINWYLYY8SGL,25,wolfe_image-100-a_w_outline.jpg,wolfe_image-100-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,4,14.666,0,3,3,22,1,A1CINWYLYY8SGL,23,wolfe_image-110-a_w_outline.jpg,wolfe_image-110-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,4,5.107,0,4,4,16,1,A1CINWYLYY8SGL,17,wolfe_image-114-a_w_outline.jpg,wolfe_image-114-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,1,26.121,0,5,5,2,1,A1CINWYLYY8SGL,3,wolfe_image-079-a_w_outline.jpg,wolfe_image-079-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,4,38.936,0,6,6,8,1,A1CINWYLYY8SGL,9,wolfe_image-020-a_w_outline.jpg,wolfe_image-020-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,3,8.437,0,7,7,13,1,A1CINWYLYY8SGL,14,wolfe_image-125-a_w_outline.jpg,wolfe_image-125-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,4,12.338,0,8,8,15,1,A1CINWYLYY8SGL,16,wolfe_image-083-a_w_outline.jpg,wolfe_image-083-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
,,,,,,,,4,15.154,0,9,9,25,1,A1CINWYLYY8SGL,26,wolfe_image-034-a_w_outline.jpg,wolfe_image-034-b_w_outline.jpg,46,m,A1CINWYLYY8SGL,2020-11-14_10h59.52.753,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,6BIE7,6BIE7,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,3EICBYG645ZUKWJ5SCCDGA5DHBUJCR,257567,257567,,,,
