consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt
space,2.542,space,1.54,5,1.698,5,1.289,4,4.059,0,0,0,25,1,A1FKRZKU1H9YFC,26,wolfe_image-038-a_w_outline.jpg,wolfe_image-038-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,3,5.352,0,1,1,4,1,A1FKRZKU1H9YFC,5,wolfe_image-126-a_w_outline.jpg,wolfe_image-126-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,6.682,0,2,2,17,1,A1FKRZKU1H9YFC,18,wolfe_image-098-a_w_outline.jpg,wolfe_image-098-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.704,0,3,3,18,1,A1FKRZKU1H9YFC,19,wolfe_image-093-a_w_outline.jpg,wolfe_image-093-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,2.733,0,4,4,29,1,A1FKRZKU1H9YFC,30,wolfe_image-019-a_w_outline.jpg,wolfe_image-019-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,2,4.969,0,5,5,24,1,A1FKRZKU1H9YFC,25,wolfe_image-108-a_w_outline.jpg,wolfe_image-108-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,2.842,0,6,6,12,1,A1FKRZKU1H9YFC,13,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,3.44,0,7,7,28,1,A1FKRZKU1H9YFC,29,wolfe_image-112-a_w_outline.jpg,wolfe_image-112-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.443,0,8,8,14,1,A1FKRZKU1H9YFC,15,wolfe_image-085-a_w_outline.jpg,wolfe_image-085-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,5,3.584,0,9,9,22,1,A1FKRZKU1H9YFC,23,wolfe_image-107-a_w_outline.jpg,wolfe_image-107-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
,,,,,,,,4,3.627,0,10,10,16,1,A1FKRZKU1H9YFC,17,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,38,f,A1FKRZKU1H9YFC,2020-10-13_17h43.40.523,MetaAwareness,2020.1.2,MacIntel,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,83YL4,83YL4,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,3LYA37P8IRQ6LBXHWXGU65Z89YEBKS,250984,250984,,
