consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,5.49874,space,12.081855,5,3.565545,5,1.425255,3,4.600665,0,0,0,27,1,A3MF31JQ350ABS,28,wolfe_image-015-a_w_outline.jpg,wolfe_image-015-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,2,5.89038,0,1,1,14,1,A3MF31JQ350ABS,15,wolfe_image-027-a_w_outline.jpg,wolfe_image-027-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,5,7.56082,0,2,2,8,1,A3MF31JQ350ABS,9,wolfe_image-085-a_w_outline.jpg,wolfe_image-085-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,3,10.862115,0,3,3,3,1,A3MF31JQ350ABS,4,wolfe_image-093-a_w_outline.jpg,wolfe_image-093-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,4,4.231125,0,4,4,9,1,A3MF31JQ350ABS,10,wolfe_image-124-a_w_outline.jpg,wolfe_image-124-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,3,47.68451,0,5,5,6,1,A3MF31JQ350ABS,7,wolfe_image-033-a_w_outline.jpg,wolfe_image-033-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,2,3.10152,0,6,6,17,1,A3MF31JQ350ABS,18,wolfe_image-039-a_w_outline.jpg,wolfe_image-039-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,2,7.12315,0,7,7,25,1,A3MF31JQ350ABS,26,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,3,0.00282,0,8,8,26,1,A3MF31JQ350ABS,27,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
,,,,,,,,2,3.416125,0,9,9,2,1,A3MF31JQ350ABS,3,wolfe_image-115-a_w_outline.jpg,wolfe_image-115-b_w_outline.jpg,49,f,A3MF31JQ350ABS,2020-10-26_11h18.14.767,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,0MAN4,0MAN4,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,3NAPMVF0ZXIO2JQ1UAYA17RIBTH27Z,250984,250984,,,,
